header,contents,date
Travel Story) 충남 당진시 합덕성당 : 고요한 성당을 찾다.,"위치 : 충청남도 당진시 합덕읍 합덕성당 2길 16 (합덕리 275) 지난 겨울의 여정기 겨울 고요함을 찾고자 여행을 떠났습니다. 그리고 잠깐 방문했던... 합덕제를 따라 산책로가 만들어져 있으며, 충남 당진과 예산 사이에 있는 합덕이라는 지역 자체의 특징이 담긴 곳입니다. 예산평야의 물을 대기 위해...",2021. 7. 5.
2021.06.12-13 당진 뚜벅이여행 카페 추천 충남 당진시 합덕읍 ‘카페피어라’...,시작하겠습니다 충남 당진시 합덕읍 석우리 48-35 ⏱ 매일 10:30 - 20:00 050714929900 주차장 O 저는 당진여행을 뚜벅이로 다녀왔어요♀️ 당진에 뚜벅이로 가시는분들이 의외로 많으시던데 도움이 되길 바랍니당 아그로랜드 태신목장에서 택시를 불러 카페피어라로 향했고 택시비는 6400원이...,2021. 6. 20.
"충남여행, 당진 가볼만한곳, 장고항, 실치회, 가자미무침, 은실수산, 당진시...","● 충남여행, 당진 가볼만한곳, 장고항, 실치회, 가자미무침, 은실수산, 당진시 수산물유통센터, 홍성펜션, 바담채펜션 ☆본 블로그에 소개된 맛집이나 음식점 등은 펜션지기의 주관적인 입맛으로 작성되었으며 어떠한 광고비나 협찬을 받지않고 직접 음식값을 지불하고 작성된 글입니다....",2021. 3. 27.
충남 당진시 교회 with 당진순복음교회,"ㅠㅠ 충남 당진시 교회 당진순복음교회 소그룹 모임도 많은데요, 기도팀, 독서팀, 등산팀, 레크팀, 문공팀, 반주팀, 산책팀, 어학팀, 여행팀, 연극팀, 재활용팀 등등 지금이야 모일수가 없지만 기존에는 모임이 많아서 충청남도 당진으로 이사오는 분들에게 친구와 이웃을 사귈 수 있는 기회가...",2020. 12. 13.
충남 당진시 자원봉사센터 원더풀 서비스 친절교육 강의,여행 파우치를 속히 쓰는 날이 오기를 손꼽아 기다립니다! 식사 후 세 시간 동안 진행한 원더풀 서비스 친절교육! 열심히 참여해 주셔서 고맙습니다! 좋은 모습으로 또 뵙겠습니다. ^^ 충남 강사로 선 당진시 자원봉사센터에서 진행한 원더풀 서비스 친절교육 강의! 미션 썩세스!,2021. 5. 24.
간만에 임장기 충남 당진시,오늘 임장까지 횟수로 2번 처음 갔을때는 여행가는 느낌이라 별로 멀지 않았던것같은데 오늘은 운전할때 졸음이 쏟아져서 힘들었다… 당진시는 지금 수청지구를 대대적으로 개발중이고 대표적인 동은 읍내동 원당동 대덕동 수청동이다. 당진시라는 곳이 생각보다 크지 않아서 시 내를 끝에서...,2021. 10. 2.
"카페피어라 | 당진시 합덕읍 - 오미자차 원두 커피 맛집 [T. 충남여행 뷰맛집, 청보리밭...",너무 예쁘죠 당진시 여행정보 검색하다가 이 풍경사진을 보고 하트 뿅뿅 피어라 카페로 날아갔쥬~ 아주 그냥 풍경이 예술입니다~ 의자와 테이블이... 기억해유~ 충남 당진시에서 다육이나 선인장 분재 사고 싶은 분들은 카페피어라 가셔서 구경해도 좋을듯요~☆ 저 귀여운 영문 A자 표시는 아메리카노...,2021. 4. 9.
충남 당진부동산 당진근린주택 당진경매 송산면 근린주택 당진시경매,사건번호 : 2020타경 54591 입찰기일 : 2021년 6월9일 감정가 : 870.611.660 입찰가 : 426.600.000 충남 당진시 송산면 유곡리 1163 토지면적 : 273.6㎥(82.... 사업번창을 기원 합니다 혹시 시간 되실때 저희 카페 방문하시여 회원 가입 부탁 드립니다 여행.맛집.사업홍보 부동산매물 회원님들과 같이...,2021. 5. 5.
[충남/당진시] 당진 면천읍성(唐津 沔川邑城) 및 레트로 거리 탐방_2020년 11월 5일(목),전체적으로 적어도 3시간 이상의 시간안배를 해줘야 꼼꼼히 둘러볼 수 있다. #면천읍성그미술관 #그미술관 #군자정 #골정지 #안샘 #면천공립보통학교 #면천초등학교 #당진면천 #면천읍성 #沔川邑城 #충남여행 #충남추천여행 #충남가볼만한곳 #당진시 #당진군 #당진시가볼만한곳 #팸투어 #언택트관광,2020. 11. 6.
충남 당진시 송악읍 복운리토지,"2,충남 당진시 송악읍 금곡리토지 계획평면도 : 계획관리지역 508평 :195평 / 148평 / 165평 (단독필지) 물류창고,모텔,창고,오피스텔 등 다가구주택... 편안하게 여행을 즐기시면서 행복하게 살아가시기를 바랍니다. 개발지역의 땅투자는 중장기적인 시간 투자이지만 은행저금리 적금통장 보다...",2020. 1. 20.
"[충남/당진] 야들야들 맛있는 실치 회 무침 / 장고항, 당진시 수산물 유통센터","에서 먹어서 그런지 서울에서 먹는 것보다 쫄깃하고 물비린내도 없어서 넘넘 좋았다고ㅎㅎ 매운탕 추가(10,000원)해서 마지막 마무리도 했다고.. 보글보글 보그르르.. 부럽다.. 다음엔 나도 같이가.. #충남 #당진 #장고항 #실치 #실치회 #당진시수산물유통센터 #당진여행 #제철회 #당진실치",2021. 3. 12.
충남 당진시에 설치된 시모넬리 아피아 라이프 반자동 커피머신!,카페 팝콘 [충청남도 당진] 안녕하세요 푸드머신코리아입니다 :) 오늘 소개해드릴 설치 장소는 바로 공기도 좋고 풍경도 좋은 충남 당진시에... 근처에 여행 오시면 맛 좋은 커피 한잔하고 가시는 것도 하나의 방법이 되겠네요 :) 이곳에 설치된 커피머신은 오랜 경험과 전통을 가진 이태리 회사...,2021. 4. 7.
짬뽕 강추맛집(충남 당진시 삽교호관광지 내),"상호 : 서유기짬뽕 주소 : 충남 당진시 삽교천3길 60, 1층 충남 당진시 삽교호 관광지 내에 위치하고 있는 가게이며 줄서서 대기하고 있는... 넣어 독특햇어요~ 일단 함 드셔보삼~~ 오래 기달리지 않고 빨리 먹을수 있는 행운이 함께 하길~~ 즐겁고 행복한 여행되세여~~끝~~^^ #당진시맛집 #짬뽕 #서유기짬뽕",2020. 8. 19.
2021.06.12-13 당진 뚜벅이여행 가볼만한곳 충남 당진시 신평면 ‘삽교호놀이동산’...,그럼 포스팅 시작하겠습니다 충남 당진시 신평면 운정리 208-1 삽교호놀이동산 ⏱ 평일 10:00 - 22:00 토요일 10:00 - 23:00 일요일 10:00 - 22:00 041-363-4589 공용주차장 O(무료) 당진 뚜벅이 여행을 계획하고 계시는 분들이 계신다면 참고하시길 바랍니당 당진 뚜벅이 여행이 택시비가 조금 들기는 하지만...,2021. 6. 17.
