header,contents,date
"[충남] 보령시 대천, 가족여행 2일차 <죽도 상화원, 스카이바이크>",Boryeong-si 제인 여행.zip ★ day 2 대천에 갈 때부터 타고 싶었던 스카이바이크 단타용 레져를 좋아하는 편은 아닌데 사진보고 안 탈 수가 없었다.... 센스있다. 보령시~ 요즘 우리집 포토 신흥강자 아빠님 예뻐서 네이버 렌즈로 검색까지 한 꽃 명자나무꽃~ 보령에서의 마지막 식사는... 뭐였더라?,2021. 7. 17.
<맛집> 충남 보령시 _ 먹보네 조개구이,"보령으로 1박 2일 여행 갔을 때, 저녁식사를 하려고 간 '먹보네 조개구이' 서해안에 간 김에 조개구이 먹으려고 열심히 검색해 봤는데 여기가... 주소 : 충남 보령시 해수욕장4길 20 (충남 보령시 신흑동 1983) 전화번호 : 041) 932 - 5542 영업시간 : 일요일-금요일 10:00 ~22:00, 토요일 10:00~24:00, 연중무휴)...",2021. 10. 4.
[여행] [충남 보령시] 죽도 상하원(尙和園),"[여행] [충남 보령시] 죽도 상하원(尙和園) “아버지, 올라가시기 전에 여기서 얼마 떨어지지 않은 곳에 죽도가 있는데 거기한번 둘러보시고 올라가시죠?” “죽도? 우리나라 해안엔 동해나 서해나 웬만한 곳은 다 죽도 아냐?” “볼만하다고 하데요~!” 우리는 한화리조트를 떠나 다음 목적지...",2021. 6. 16.
"충남 보령시 여행 대천해수욕장 맛집, 무한리필조개구이 ! 마니마니조개구이 강추!!!...",오늘같은 구름 잔뜩 낀 하늘을보니 충남 보령시 대천해수욕장 ㅋㅋㅋㅋㅋ 출 ~~~발 ㅋㅋㅋㅋㅋ 젊음의 메카 !! 젊은이도 아니믄서ㅋㅋㅋ 전국 날씨 보고 픽 !! 모두 비가 온다고 할때 충남쪽만 강수량이 가장 적어서 ㅎㅎ 출발하게 된 대천해수욕장 ^^ 그렇지 !! 보령시 도착할 쯤 ! 구름 싸악 걷히고...,2021. 9. 2.
충남 보령시 여행,오늘은 충남 보령시 인근을 다녀왔습니다. 어제의 방콕을 만회하는 느낌으로 열심히 걸어다닌거같아요~ #충남보령시 에 위치한 #죽도상화원... 텔레비전에서 한약백숙이 나오는데...와우 배고픈건 왜 일까요? 주말 안녕 #내돈내산여행 #신혼부부 #충남여행 #바다여행 #해산물에맥주 #해산물젤리 #테라,2021. 6. 6.
[충남여행/보령시]보령 우유 창고,"[충남여행/보령시] 보령 우유 창고 꼭 한번 와보고 싶었던 보령 우유 창고 방문했던 날 날씨도 최고, 하늘도 최고 보령 우유 창고 주소 : 충남 보령시 천북면 홍보로 574 지번 -하만리 216 영업시간 매일 11:00 - 19:00(연중무휴) 믹스 아이스크림 2 주문 후 1층이 다 보이는 2층으로 ㅎㅎ 부드럽고...",2021. 6. 21.
충남 보령시 대천해수욕장_도다리 원투낚시,충남 보령시 대천해수욕장 대천해수욕장 도다리 원투낚시 3월 대천해수욕장에서 도다리 낚시를:) 장군이와 함께 떠난 여행. 바다 구경하러 충남 보령시 대천해수욕장에 갔는데 낚시하시는 분들이 많더라구요. 트렁크에 있는 낚시대를 꺼내 원투낚시를 재미삼아 던져보았는데 작은 도다리가...,2020. 3. 16.
"충남 보령시 대천해수욕장 여행 핫한 맛집 민속촌칼국수, 코랄커피(coral coffee)",배고파 배고파 배고파 배고파 #대전인근여행 #대전인근바다 #대천해수욕장 #해장 #즉흥여행 민속촌칼국수 대천해수욕장에서 칼국수가 가장 유명한 식당 ! 041-933-5736 충남 보령시 해수욕장4길 94 (대천해수욕장 바로 중앙에 있음!) 매일 09:00 - 18:00 대천해수욕장 놀러와서 낮에 점심으로는 항상...,2021. 5. 24.
충남 보령시 여행,그래서 정한 첫번째 정한 목적지는 충남 보령시 입니다. 2019.12.25~27. 2박3일간의 여행!! 보령하면 대천해수욕장 머드축제가 유명해서 많이들 알고 있기에 이번에는 겨울바다를 보기위해 출발했습니다. 창녕에서 4시간을 달려도착했습니다~ 대천해수욕장에 도착하자마자 군밤굽기행사가 있어서 5천원...,2020. 1. 5.
[국내여행] 충남 보령시 바둑이네 동물원 방문기,"된 ""충남 보령의 바둑이네 동물원"" 집에서 한 시간 거리에 위치에 있어 쉽게 방문할 수 있었어요^^ 우선 바둑이네 동물원은 개화예술공원 안에... 개화예술공원 일반: 5,000원 학생, 어린이(37개월~고등학생): 3,000원 장애인 성인: 3,000원 장애인, 학생, 어린이 : 2,500원 보령시민: 무료 바둑이네 동물원...",2021. 4. 4.
