header,contents,date
[KBS/6시 내 고향/충남부여군]따뜻한 봄 날 즐기는 부여여행지,"충청남도 부여군 | 금강, 황포돛배, 유채꽃밭 ✔ KBS의 6시 내 고향 중 고향기행 코너는 제가 가장 좋아하는 코너 중 하나입니다. 지역의 먹거리, 볼거리를 한 번에 볼 수 있어서 간접여행 느낌을 받을 수 있기 때문이죠. ✔ 오늘 소개할 지자체는 충남 부여입니다. 최근 열기구 체험과 관련된...",2021. 4. 29.
<일상>충남 부여군을 가다 볼거리 먹거리 즐겨보다,"백제의 숨결이 그대로 느껴지는 #충남 #부여군 주변에 먹거리 볼거리 가 다양해서 1박 2박 정도 여행코스로 추천하고싶다. 나역쉬 인터넷 에서 검색해서 대표적인 곳을 찾아 여행 스케즐을 짜서 다녔고, #백제문화단지 까지 함께 관람 을 했다. 개인적으로 내린결론...모두 돈이다.ㅋ 입장료...",2021. 9. 14.
"[충남 부여군] 부여읍 관북리 <부소산성 & 낙화암> 투어 (f. 충청남도 부여 여행, 백제...",부소산성 #부소산성 #낙화암 #관북리유적 #백제역사유적지구 #유네스코세계유산 #부소산 #부여명소 #부여관광 #부여관광지 #충남여행 #충청남도여행 #충남명소 #충청남도명소 #조선시대관아 #삼천궁녀 #부여데이트 #부여소개팅 #부여한옥 #부여전통가옥 #부여국호 #부여군관광 #부여군관광지...,2020. 4. 14.
합송리 994[충남 부여군],"나는 부여에서 베트남의 향수를 느끼며, 현재 COVID-19 상황 속에서 해외여행을 가지 못한 아쉬움을 달랬다. 합송리 994 외부 테이블 야외 테이블도 과거 한옥 스타일로 준비되어 있으니 부여에 갔다면 꼭 방문해 보길 바란다. #합송리994 #부여 #부여군 #충남부여 #베트남커피 #핸드드립 #브루잉...",2021. 8. 18.
입문용드럼 충남 부여군 새벽드럼 출장세팅~~ 낙원상가 (드럼전문 구내악기),21.8.18일 충남부여군 농가주택 입문용 드럼 출장세팅 이야기로 포스팅 시작하겠습니다.~^^ 낙원상가 드럼전문 구내악기는 전국출장 드럼세팅 전문점... 지금부터 여행하는 기분으로 드럼출장 여행 시작하겠습니다!! 오늘의 고객님은 지금 살고 계신곳은 서울이신데 오랫동안 비워져있는 고향집을...,2021. 8. 18.
"[공연] 2021년""토요상설국악공연"" 개막 - 부여군충남국악단","소리와 선율, 아름다운 춤사위를 매주 토요일 2시면 부여군충남국단의 품격있는 공연을 감상할수 있다. 2021년 봄의 따뜻한 주말 오후, 부여군충남국안단 토요상설공연으로 아이들과 좋은 추억만드세요. #부여군충남국악단 #부여군 #해악 #국악 #한복 #국악 #추억 #부여여행 #부여가볼만한곳 #부여추천",2021. 3. 7.
"인천공항 방역 콜밴, 콜벤, 대형택시 충남 부여군 운행기",해외여행을 가고 싶어요 ㅠㅠ 손님 기다리면서 시간이 많이 남아 인천공항 제2여객터미날 3층을 다녀왔습니다 블루대형택시를 예약 하시면... 목적지는 부여군입니다 자주오는 곳은 아니지요 대형택시를 하면서 2번 정도 와봤습니다 일단 부여군 보건소에 들립니다 #인천공항에서부여...,2021. 3. 8.
충남 부여군 도서관 리뷰 - 부여도서관,"▶부여도서관 ▶ 주소 : 충남 부여군 부여읍 성왕로 259 부여도서관 ▶ 약도 : ▶이용시간 : ▶이용안내 : ▶시설현황 : ▶홈페이지 : http://www.... 중요한 유산이니 훼손에 주의해 주세요~ 평생교육도 제공하고 있어 부여지역 문화센터로서의 역할을 하고 있는데요~ 나만의 추억, 여행스케...",2020. 7. 13.
"충남 부여군 가볼만한 곳, 성흥산성 사랑나무 방문기❤️(인생샷)",#충남 #충남부여군 #부여군 #부여성흥산성 #성흥산성 #성흥산성사랑나무 #인생샷 #대전근교여행 안녕하세요 눈뭉치입니다! 오늘은 부여에서 당일여행으로 다녀온 성흥산성에 대해 소개해드려고 합니다!!ㅎㅎ 벌써 다녀온지 이주일이나 됐는데 너무 늦게 올리게 되었어요..흑..ㅎㅎ 부여 가볼만한 곳...,2020. 11. 28.
20년 5월 충남 부여군 원산천,원산천 충남 서천으로 여행중 신성리갈대숲에 방문. 입구에서 판매하는 군밤을 먹으며 갈대숲을 걷다가 뭐 눈에는 뭐만 보인다고.... 낚시 하시는분을 포착.... 지도에서 급 검색해보니 원산천이더군요. 운영중인지 모르겠는 선착장에서 갈대숲 방향 전경. 위사진 다리중간에서 낚시를 하더군요. 다리...,2020. 8. 19.
"부여 여행, 부여군 가볼 만한 곳, 창강서원",오늘은 충남 부여군에 위치한 창강서원을 찾았습니다. 충청남도 문화재자료 제107호로 지정되어 있는 창강서원은 조선 중기의 문신이었던 황신의 학문과 덕행을 추모하기 위해 창건되었습니다. 작은 규모의 서원이지만 조선의 제19대 왕인 숙종이 서원의 이름을 '창강(滄江)'이라 짓고 현판을 써 보낸...,2021. 8. 7.
부여 궁남지(충남 부여군) ‘한국관광 100선’ 선정지,"빈 못과 넓은 들에서 여유를 배우고 백제 문화의 한 장면을 엿보는 여행을 했습니다. 여름꽃이 필 무렵 다시 오게 될 것 같아요. 그때는 삼각대까지 준비해서 아름답다고 소문난 야경까지 담아 볼렵니다. 2021년 2월 20일, 부여 궁남지에서",2021. 2. 23.
[충남 부여군] 낙화암보고 '장원막국수'는 필수!!!,#부여맛집 #부여 #부여식당 #부여점심 #부여낙화암 #부여여행 #충남드라이브 #충청도드라이브 #부여드라이브 #부여맛집탐방 #부여식객 #부여장원막국수 #막국수 #장원막국수 #부여필수 #부여가볼만한곳 #궁남지 #낙화암#삼청궁녀 #교육여행 #아이들데리고가볼만한곳 #부여 #공주 #서천 #여행...,2021. 3. 16.
[사카츠 - 보석사우나(충남 부여군)] 진열된 목욕바구니가 압권인 목욕탕,"부여 여행 첫날, 늦은 점심을 먹고 부여 시내의 오래된 목욕탕을 찾아 나섰다. 미리 네이버 지도에 표시해 두었던, 1982년 창업하였다고 하는 대림목욕탕으로 갔다. 흰색으로 칠한 2층 건물에 목욕탕이 들어서 있다. 건물 외관을 보니 제법 연식이 들어보였다. 1층의 카운터를 중심으로 양쪽에 남탕과...",2020. 10. 12.
백제의 역사가 잠들어 있는 고고한 도시 [충청남도 부여군 야경여행] ①,"오늘의 추천 여행지는 [충청남도 부여군] 입니다. 출처: 한국관광공사 다님 5기 경주, 수원에 이어서 바로트립이 뽑은 야경 명소! 바로바로 충남 부여인데요. 오늘은 부여의 야경을 제대로 느낄 수 있는 로맨틱한 무드의 데이트 코스를 준비했습니다. 그럼 함께 보러 가실까요? 출처: 한국관광공사...",2021. 9. 29.
연잎 이야기[충남 부여군],16(월) 충남 부여군에 위치한 '연잎 이야기' 연잎밥을 판매하는 식당이다. 인터넷 검색을 하고 찾아온 식당이라 크게 기대는 하지 않았지만... 여행을 다니다 보면 일정 지역에서만 먹을 수 있는 술이 있다. 부여는 연꽃 막걸리인 것 같다. 연꽃 막걸리 연꽃이 귀한 재료이기 때문에 가격이 생각보다...,2021. 8. 18.
"3월13일(토) 충남 서천군,부여군(봉선저수지 둘레길,서동요테마파크...","충남 자전거여행입니다. 1. 일시,장소 : 3월 13일 토요일, 충남 서천군 문산면사무소 아침 7시40분. 2.인원: 코로나로 인하여 법정인원(1~3명) 3. 코스 및 난이도 : 경로는 하부 그림 참조 해빙기라 임도가기는 부담이 있어 볼거리 위주의 73km 라이딩입니다. 난이도는 임도2km, 월명산 둘레길...",2021. 3. 6.
2021년 하반기 부여군충남국악단 토요상설국악공연(7월24일),미착용시 입장 불가 - ※ 전화예매 : 041)832-5765 티켓전석 2천원 (충남도민 50%할인) 토요상설프로그램 7월 24일 공연 부여군충남국악단 사회자 '김설' 가야금병창 살풀이 민요 판소리 북합주&바라춤 #부여군충남국악단 #부여군 #부여가볼만한곳 #국악공연 #토요상설공연 #부여여행 #부여추천,2021. 7. 24.
부여 카페 “수월옥” [부여 여행/ 국내 여행/ 부여군 카페],수월옥의 코멘트 부여 여행의 막바지에 들른 카페였는데 도로 한편에 있어서 한 번은 그냥 지나치고 다시 돌아와서 찾았다. 큰 간판이 있는게... 전화번호 041-837-8203 주소 충남 부여군 규암면 수북로 37 시간 화~일 10:30 ~ 19:00 주차공간은 카페 옆에 있고 아니면 도로가에 그냥 주차하면 된다.,2020. 8. 27.
"충남 부여군 부소산성 & 낙화암, 궁남지 (ft. 장원막국수)",아메리카노가 매우 쓰다. 궁남지 산책 한바쿠~~ 어미오리와 아기오리들 ㅎㅎ 구여웠다 먼 발치에서 구경도하고~ 연꽃도 일부 보고 왔다. 여자친구는 피곤했는지 돌아오는 길 내내 잤다. 그래도 간만에 추억쌓는 여행해서 좋았다. 한 번씩 시간될 때 많은 추억을 쌓아놔야겠다.,2021. 6. 11.
"(충남 부여군 구아리, 40년 전통곰탕)왕곰탕 식당 주차장 정보, 내돈내산 후기",부여에 놀러가신다면 곰국 한그릇 추천합니다~ #블챌 #오늘일기 #왕곰탕식당 #부여맛집 #부여맛집추천 #부여식사추천 #부여곰탕맛집 #부여곰탕 #부여왕곰탕 #부여왕곰탕식당 #부여시장 #부여중앙시장맛집 #부여중앙시장곰탕 #부여중앙시장식당 #부여가볼만한곳 #부여여행,2021. 5. 31.
"[충남 부여군]줄서서 먹는 유명 막국수 집, 장원막국수❤️",#충남부여 #부여 #부여맛집 #부여막국수 #막국수맛집 #편육맛집 #부여장원막국수 #부여관광지 #장원막국수 안녕하세요 눈뭉치입니다! 오늘은 대전 근교인 부여에 여행을 다녀오면서 점심으로 먹은 막국수 맛집을 소개해 드리려고 합니다 다들 줄서서 먹는다는 막국수 집 부여 맛집이라고만 쳐도...,2020. 11. 21.
"부여여행, 부여산책, 동네산책, 부여군 구룡면 논티리","동네를 돌아보는 동안 함부로 버린 쓰레기를 보지 못했고 분리배출도 제대로였습니다. 대단한 볼거리가 없어도 고향마을을 걷는 것 같은 동네 산책, 여러분과 함께 하면 좋겠습니다. 논티마을회관 : 충남 부여군 구룡면 흥수로 103번길 19",2021. 5. 23.
부여궁남지.충남 부여군.,서울서 기차를 타고 논산역 에서 내려 부여 가는 버스를 타고 부여 에서 하차 약30여분 걸어서 부여궁남지 여행했습니다. 2020.05.04.,2020. 5. 6.
[부여여행/부여군] 합송리994 카페,'합송리 994' 카페 주소 : 충남 부여군 규암면 흥수로 581-6 전화번호 : 041-833-6671 운영시간 : 주말 11:00 - 18:00 / 공휴일 11:00 - 18:00 평일 11:00 - 18:00 / 목요일 휴무 합송리994 카페 내부 합송리994 카페 내부. 야외에도 테이블이 있지만 날도 덥고 대부분 실내에 앉습니다. 전부 좌식...,2020. 8. 16.
