header,contents,date
"[지역N문화 테마여행] 충남 서산시 여행코스 :: 느리게 흐르는 시간, 서산","충남 서산시 여행코스 느리게 흐르는 시간, 서산 느리게 흐르는 시간, 서산 충남 서산시 *출처 : 한국관광공사 서울에서 멀지 않은 곳, 서산은 예전의 전통, 우리의 옛모습을 간직하고 있는 도시로, 말 느리고 인심 좋은 충청도의 대표 도시 중 한곳입니다. 지금까지도 지역적, 언어적 특징을...",2020. 11. 24.
충남여행 서산시 해미성지 산책로 걷기,충남여행 서산시 해미성지를 방문할 계획을 하시고 있다면 경건한 마음으로 기도하는 자세로 방문해 주시기 바랍니다. 이곳은 관광지라는 개념보다는 이유없이 처참하게 세상을 작별해야 했던 순교자들의 무덤과도 같습니다. 다시는 일어나지 말아야 하는 안타깝고 가슴아픈 역사를 품고있는...,2021. 6. 30.
[충남 서산시]엄마랑 이모랑 태안여행 - 서산 개심사(開心寺),"2021년 5월 6~7일 엄마랑이모랑 태안여행 엄마 형제는 여섯자매. 딸만 여섯이니 그 옛날 외할머니께서 얼마나 시어른들 눈치를 보셨을까 싶다. 이제... 개심사는 충청남도 서산시 운산면 상왕산(象王山)에 있는 삼국시대 백제의 승려 혜감(慧鑑)이 창건한 사찰로, 대한불교조계종 제7교구 본사인...",2021. 5. 22.
여미리 미륵불 입상 - 충남 서산시 운산면 여미리 여행,여미리 미륵불 충남 서산시 운산면 여미리에 있는 불상. 1970년대 지금의 위치에서 1㎞ 떨어진 용장천 정비사업 때 하천에서 발견되어 현재의 위치로 옮긴 것이다. 충남 유형문화재 제132호 '서산 여미리 석불입상(瑞山 余美里 石佛立像)' 서산시 보호 노거수인 소나무를 마치 양산처럼 받쳐쓰고 있는...,2020. 4. 23.
충남 서산시 팔봉산(365m) 2021.06.08,않고 그리 오래 걷지 않고 이만한 풍경을 감상할 수 있는 곳이 어찌 많겠는가. 그 산들의 아름다움에 멋스럽지 못한 인간이 그래도 멋진 동료들과 함께 오르고 또 오른 그 팔봉산의 모습과 그 팔봉산에서 보는 서해의 모습을 사진 몇 장을 남겨놓는다. 추억으로 남을 시간을.... #충남여행 #서산시 #팔봉산,2021. 6. 15.
충남 서산시 맛집 '서산명소' 돼지갈비가 너무 맛있는 고깃집,바로 충남 서산시 맛집 '서산명소' 입니다!! 위치는 현진에버빌 아파트 근처인데요!! 처음가신다면 네비틀고 가시는게 좋더라고요ㅎㅎ 산과... 가족들이랑 오면 진짜 여행온 기분 팍팍날거같지않나요ㅎㅎ 여긴 분관에 있는 룸인데 엄청 넓직하고 잔치해도 될정도의 규모더라고요!! 이노무...,2021. 8. 5.
서해안 충남 서산시 여행코스 맛집 횟집추천 카박 캠핑 낚시추천 삼길포항 여행코스...,"서울에서 가까운 서해안 여행코스중 충남 서산시 삼길포항을 다녀왔습니다 작은 항구이구요 입구부터 시작해서 수산물시장 까지 가보았습니다 주변에는 팬션, 식당, 카페등 아담하게 상권이 형성되어 있었구요, 특히 캠핑과 차박 하시는 분들이 많더라구요! 수산물 시장 건물은...",2021. 3. 18.
충남 서산시 대산읍 오지리 벌천포 벌말항 우럭낚시,#충남여행 #충남서산시벌천포 #충남서산벌천포벌말항 #벌천포벌말항 #벌천포벌말항우럭낚시 벌천포 벌말항 충남 서산시 대산읍 오지리 소금을 구워 내던 마을을 의미하는 '벌천포 벌말항' 벌천포 한자로는 벌촌포[筏(뗏목벌)村浦] 과거에는 벌촌이 있어서 지어진 이름이라고 한다. 이곳 벌천포는...,2020. 7. 18.
충남 서산시 여행,서산시에 4개월을 거주하고 이제 동해안으로 거주지로 옮기게 되었다. 떠나면서 정리해 본다. 서산시를 이해하는 데에 옥녀봉이 빠질 수 없다. 철새 도래지로 널리 알려진 천수만에서 북쪽을 바라보면 자그마한 산들의 능선이 병풍처럼 이어져 있는데 작은 산봉우리마다 산 이름이 다르다. 그중에서...,2021. 5. 25.
[2021 국내여행] 충남 서산시 웅도,일상의 관성에 지친 삶에 대해 풍경이 주는 작은 위로 정도면 족할지도 모르겠다. 충남 서산 웅도 다음 계절이 무르익을 즈음 웅도를 다시 찾고 싶다. 가을의 웅도는 또 어떤 이야기를 담을까 하는 작은 기대감으로. (2021 국내여행 - 충남 서산시 웅도 편 마침),2021. 8. 16.
"충남 서산시 해미면 방문후기(해미읍성... 해미 터미널 시간표, 해미복권집) _해미여행",길을 가다 보면 이곳이 관광도시라고 느껴지는데요 그이유는 도시의 시설물들을 활용하여 관광안내도로 쓴다는 점이죠 ㅎㅎ 이런 관광안내도는 여행객들이 관광객들한테 큰 도움이 되겠네요 ㅎㅎ 그리고 충남 서산시 해미면의 가장가장 최고의 명소가 하나 더 있는데요. 그 유명 장소는...,2020. 9. 24.
충남 서산시 운산면 고풍리 매물 여행,전원주택 #휴양림주택 #펜션임대매매 #예듀윌전문가과정 #서산운산면고풍리전원주택 #서산운산면고풍리펜션 #조개구이맛집 #제트보트 #대천해수욕장머드팩 #보령머드팩축제 #보령조개구이 #시골전원주택 #펜션구입하기 #좋은펜션임대매매 백제의미소 #서산운산면고풍리계곡 #충남서산가족여행,2021. 6. 21.
'발걸음 마다 마음이 열리다.' - 충남 서산시 상왕산 개심사(上王山 開心寺),"* 충남 서산 상왕산 개심사(象王山 開心寺) * 충남 서산시 운산면 개심사로 321-86(041-688-2256) 가야산 수덕사에 예속된 절로 651년 의자왕 11년에... 외모와 성격, 식성 등 닮은 점 보다는 다른 점이 더 많은 친구지만 여행과 책을 좋아하고 아침형 인간이라는 공통점(그 외에도 은근 텔레파시가 많이...",2021. 8. 18.
충남 서산시 시골 단독주택 황토흙침대 시공사례,오늘 날씨가 기가 막히게 좋은 하루이네요 ^^ 오늘은 충남 서산시 시골 단독주택 안방 리모델링 시공하는 모습을 포스팅 해봤어요. 연세가 많으신... 화성여행 #오산카페 #전신안마 #아로마찜질 #아로마마사지 #방역살균램프 #서산인테리어 #인테리어 #한의원인테리어 #병원인테리어 #아파트인테리어...,2020. 10. 29.
충남 서산시 4월여행,서니 누나의 어릴적 추억이 고스란히 담겨 있는 충남 서산시에서 진행한 4월여행. 근처에 다른 집이 없이 멀리 떨어진 한적한 위치라서 바이러스가 걱정되는 이 시기에 귀한 베이스 캠프가 되어줬다^^ 세월의 흐름을 나타내는 오래된 파랑 대문도 감성 자극해주시고~ 먼저 도착한 친구들은 간식을...,2020. 5. 4.
서산 해미읍성(충남 서산시),"(해미읍성 안내표지판·서산해미읍성 홈피 참고) #회화나무(충남 지정기념물 제172호) 무기류가 전시된 곳에서 몇 걸음을 떼면 의미 심상한 나무... 2020년 5월 7일, 해미읍성에서 조선을 여행하다. 관람정보 위치 : 서산시 해미면 남문2로 143 규모 : 성곽길이 1,800m, 높이 5m, 성내면적 203,592㎡ 관람시간...",2020. 6. 16.
개심사 - 충남 서산시여행,개심사(開心寺) 충청남도 서산시 운산면 상왕산(象王山)에 있는 삼국시대 백제의 승려 혜감이 창건한 사찰. 대한불교조계종 제7교구 본사인 수덕사(修德寺)의 말사이다. 654년(의자왕 14) 혜감(慧鑑)이 창건하여 개원사(開元寺)라 하였다. 1350년(충숙왕 2) 처능(處能)이 중창하고 개심사라 하였으며...,2021. 4. 10.
충남 서산시 웅도 낙지 웅도 식당 (식객 허영만의 백반기행),충남 서산시 웅도 낙지 웅도 식당 (식객 허영만의 백반기행) 여행 일정중에 최고로 기대되는것이 있다면 인싸들의 핫플레이스가 어딘지!?하고 맛집을 찾아내는 재미! 충남 서산하고도 태안을 여행일정을 잡은 익산꽃집&플라워카페 폴라리스네 가족들~ 이른아침부터 태안신두리 해안사구 일대를...,2021. 6. 24.
"충남 서산시 대산읍 ""벌천포해수욕장"" 차크닉을 떠나다",아름다운 서해의 바다낙조 충남 서산의 자랑거리가 아닐수없지요 이렇게 멋진 낙조를 보기위해 방문하셔도 충분히 가치있는 시간이 되실거예요 :) 서산댁 춘슬부부는 항상 동네 근처 이렇게 멋진곳을 다니면서 하루하루 감사하며 지내고 있습니다♥ 글을 마치며 여행에 빠질수없는 벌천포해수욕장...,2021. 4. 19.
"충남서산여행] 오지리 벌천포해수욕장, 덕수네가리비, 황금산까지~서산시 대산읍...",가족 여행지로 사랑받고 있답니다. 바다 건너 보이는 곳이 화학공장과 덕수네 가리비 맛집이에요 화학공장은 야경이 아름다워 사진 찍는 분들이... #서산여행 #대산 #오지리 #벌천포 #가로림만 #해안 #바닷가 #독곶리 #가리비 #덕수네가리비 #황금산 #산행 #맛집 #몽돌 #몽돌해변 #꽃게...,2020. 7. 10.
