header,contents,date
갑오징어 풍성한 충남서천군 서면 홍원항 탐방,상점 사장님 들도 친절하십니다 집에와서 라면에 싱싱한 갑오징어 투하 맛나게 1일 여행생각 되시면 충남 서천군 홍원항 추천 합니다 서해안 도로를 달리면 좌우로 논과 밭 산이 멋진 경관을 보여줍니다 일상에서 지친 눈 과 마음을 자연과 맛난 자연산 어류를 만나보세요 서천 홍원항 탐방기 입니다.,2021. 5. 30.
알짜배기로 꽉꽉 담은 충남 서천 여행 필수 코스! [충남 서천군 가을여행] ①,"오늘의 추천 여행지는 [충청남도 서천군] 입니다. 출처: 한국관광공사 가을 하면, 높고 푸른 하늘과 바람에 따라 이리저리 흔들리는 갈대가 떠오르지 않으신가요~? 오늘은 서천에서 가장 아름다운 곳, 신성리 갈대밭을 중심으로 서천 여행에서 빼놓을 수 없는 필수 코스로 준비했습니다! 서천여행...",2021. 9. 3.
"충남 서천군 여행 : 서천 여행코스 베스트7 (장항 맛나로, 에코리움, 조류생태전시관...",서천군 조류생태전시관 그리고 조류 생태전시관으로 이동했습니다. 이곳은 국내 대표적인 철새 도래지인 금강하구의 자연 생태계를 체계적으로... 충남 서천 여행은 평생 잊지 못할 추억거리가 되었어요. 그리고 다음에도 또 방문하고 싶은 곳이기도 합니다. 여러분들에게 적극 추천하고 싶어요....,2020. 12. 2.
[문헌서원] 왕실태교여행 - 예비 엄마 아빠들 보세요.(충남 서천군),충남 서천군에 계신 분들 중에 출산을 기다리는 예비 엄마 아빠들에게 좋은 소식이 있어 전해드려요. 국립 고궁 박물관에서 인기리에 진행 하는 왕실태교여행 프로그램을 유명 강사와 함께 문헌서원에서 임신을 기다 리는 예비 부부들에게 무료로 진행한다고 해요. 소중한 아이의 출산을 기다리는...,2020. 7. 29.
카멜리아가든-충남 서천군 맛집,요즈음은 맛집 투어가 대세라서 무작정 떠나서 그 지방에서 검색 하면 정보가 많아서 여행 하기에 편리하다. 나의 네비게이션이 충남 서천군 마서면으로 달리고 있었다. 군산이 보고 싶었지. 그곳에서 멋진 장소를 찾았어. '카멜리아가든'~ 드라마에 나오는 그 이름 인가 ? 동백나무도 곳곳에...,2020. 9. 1.
"충남서천 여행, 서천군 춘장대해수욕장캠핑, 솔내음야영장 최고!! ^^",고급 갤러리 같은 화장실 들어가지는 않았지만 충남서천군에서 춘장대해수욕장에 공들인 모습이 모두 느껴지는 모습들 ! 토요일 저녁 아주버님과 냉파공장장님의 작품 ! 충남 서천군 춘장대 해수욕장은 명주조개가 엄청 많이 잡힌다는 소리를 듣고 왔는데 정말 잘 잡힌다. 명주조개는 해감이 정말...,2021. 5. 31.
경기도 판교역이 아닌 충남 서천군 판교면에 있는 장항선 판교역에 장거리 기차 여행을...,오늘 2020/05/16 (토) 저는 경기도 판교역이 아닌 충남 서천군 판교면에 있는 장항선 판교역에 장거리 기차 여행을 했습니다. 저는 경기도 성남시 분당구에 있는 신분당선 DX Line 무인 전철과 경강선 전동열차가 있는 경기도 판교역이 아니라 장항선 무궁화호가 다니고 새마을호와...,2020. 5. 16.
충남 서천군 여행 - 장항스카이워크 & 솔토락펜션 & 국립생태원,2년 전에 충남 서천군 지역을 여유있게 1박2일로 가족들과 다녀온 여행 코스입니다. 장항스카이워크&장항송림산림욕장(오전 힐링산책) → 다정다반 식당(미리 예약해서 점심식사) → 서천 수산물특화시장(시장 구경 및 해산물 구입) → 솔토락펜션(개별 바베큐장 분위기 대박!!!!!) → 국립생태원 구경...,2020. 12. 1.
[충남 서천군] 자전거타고 금강 여행하고 왔어요♡,#장항읍 #생태원근처 #금강 #금강하구둑여행 #서천여행추천 #서천여행 #장항읍여행 #금강자전거 #자전거대여 #서천군데이트 #서천여행1박2일 #서천1박2일 #철새 #금강하구둑 #무료자전거 #부여 #서천 #화양 #신성리갈대밭 #자전거여행 #금강자전거 #서천드라이브 #부여드라이브 #서천가볼만한곳...,2021. 6. 27.
충남 서천 <진미식당> 2대째 내려오는 원조 콩국수집 솔직후기 (feat. 서천군 항토 맛집),콩국수 맛집 포스팅을 할꺼에용>_< 서천군 향토 맛집 진미식당 콩국수 전문점 진미식당 ✔가게주소 : 충남 서천군 판교면 종판로 885 ✔영업시간... 계산하고 나오는데 카운터 옆에 있던 <판교 시간여행 마을지도> 판교라함은 판교신도시를 떠올렸는데 예전에 구 판교역이였던 곳이래요! 밥도...,2021. 8. 14.
