header,contents,date
[충남 여행]충남 예산군 가야산 2020.03.15,이런 산행은 언제나 힘든 것 이상의 즐거움을 준다. 오늘의 산행을 정리하며 그 거센 바람을 뚫고 찍은 몇 장의 사진들을 기록으로 남겨 놓는다. 피곤하지만 시원함을 느끼는 하루가 된 일정. 그 일정의 기록이다. #충남여행 #예산가볼만한곳 #예산군 #덕산면 #가야산 #가야산등산로,2020. 3. 15.
[충남 예산군] 충남 여행 수덕사와 예당호출렁다리 주말나들이 예산가볼만한곳,#충남 #충남예산 #충남데이트코스 #충남여행 #예산군여행 #충남당일치기 #충청도여행 #충남가볼만한곳 #충남드라이브코스 #청주인근드라이브 #청주인근데이트코스 #예당호 #예당호출렁다리 #출렁다리 #제일긴다리 #제일큰호수 #예산예당호 #수덕사 #충청사찰 #충남사찰 #예산사찰 #충남가볼만한절...,2021. 2. 1.
충남 여행 가족과 가볼만한 곳 물놀이터 놀이기구 야경맛집 예산군 내포보부상촌 할인...,충남 예산군 내포보부상촌 오전 일찍 입장해서 점심 시간전에 퇴장했다가 저녁에 야경보러 다시 입장해서 하루를 알차게 보냈답니다. 당일 입장권에 한해서 재입장이 가능하답니다. * 내포보부상촌 이용요금안내* 보부상촌 이용요금은 일반과 지역주민 할인/ 다자녀 할인/경로할인 /장애할인...,2021. 9. 17.
[충남 여행] 예산군 예당호 출렁다리 둘레길 산책로에 다녀왔어요. 예당호 출렁다리...,"아침에 바라본 예당호 저수지 좌대에서 바라본 모습 [충남여행]여행이라면 여행이고 낚시터에 따라가서 힐링을 합니다. 남편은 낚시하고 저는... 다리 위에 올라가니 바람이 많이 불고 다리 밑으로 떨어질 것 같아요.~~ㅎㅎㅎ 예당호 출렁다리 충남 예산군 예당호에 위치한 출렁다리로, 2018년 12월...",2021. 7. 10.
온택트 가을 힐링 여행 충남 예산군 아그로랜드 태신목장,온택트 시대에 힐링여행하기 좋은 장소를 추천하려 합니다 충남이란 지역에 위치한 예산군에 있는 아그로랜드 태신목장입니다 가을 힐링 여행 충남 예산군 아그로랜드 태신목장 #온택트 #가을 #힐링 #여행 #충남 #충청남도 #예산군 #아그로랜드 #태신목장 #낙농체험목장 #트랙터 #트랙터타기 #자연...,2020. 10. 23.
"[산 여행] 충남 예산군 덕숭산, 초등학생 아이들과 함께","이번 주말에는 충남 예산군 덕산면에 위치한 덕숭산을 다녀왔습니다. 산림청이 선정한 100대 명산 중에 하나이고, 높이 495m의 그닥 높지 않은 산이라 사람들이 많이 찾는 곳이라고 합니다. 저희는 수덕사 주차장에 차를 주차해 수덕사를 지나 정상을 찍고, 다시 올라왔던 길을 되돌아 내려오는 코스로...",2020. 5. 17.
[충남 예산군] 기억들 모아 모아 2,"낮에 찍은 예당호 출렁다리에요 여기서 충남 예산군 여행포스팅 마칠게요 '◡'ෆ 다음 예산 여행가면 국밥은 꼭 다시 먹고 올래요 넘나 맛있었던 국밥,, 출렁다리도 또 갈거에요! 모두 오늘도 행복하고 즐겁고 신나는 하루이길 https://m.blog.naver.com/psmww/222269890809 #커플여행 #예산여행 #출렁다리...",2021. 3. 11.
2억 부동산 토지 투자 땅 매매 가볼만한곳 관광 여행 예당호 맛집 충남 예산군 신양면...,부동산 토지 투자 땅 매매 충남 예산군 가볼만한곳 관광 여행 예당저수지 출렁다리 수덕사 현충사 강당골마을 맛집 광시한우 한우 육회 등 충남 예산 예산군 버섯농장 표고버섯농장 아래 보이는 저기 입니다. 부동산 토지 투자 땅 매매 작은 골짜기 산중에 있어서 시원 합니다. 조용하고 공기...,2020. 6. 22.
충남 예산군 여행(1) - 여사울 성지 - 화순옹주 홍문 - 추사 김정희 고택 - 인 언민...,8월22일(토) 오늘 아침 아들님을 학원에 데려다 주고 충남 예산에 갔다 왔습니다. 오후에 다시 아들님을 데리려 가야 되기 때문에 시간 제약이 있어... 예산군이 사과로 유명한 곳이라 그런지 곳곳에 사과나무가 눈에 많이 보입니다. 물론 넓게 펼쳐진 삽교평야도 인상적이었습니다.,2020. 8. 23.
[충남: 홍성여행/예산군맛집/수덕사맛집/우렁된장맛집] 은성산채마을(한식최고),하고 들어간 #은성산채마을 결론적으로는 홍성여행/예산군맛집/수덕사맛집/오렁된장맛집 은성산채마을에서 점심먹기 대성공! 진짜 개존맛탱~ 홍성여행/예산군맛집/수덕사맛집/오렁된장맛집 은성산채마을은 인천방송에도 소개된 집이라고 하는데 일단 배고프니까 얼른 들어가본다! 편안한...,2021. 6. 17.
충남 예산군 가야산 석문봉(653m) 가야봉(678m) 연계산행 2020.08.15 - 블랙야크...,"충남 예산군 가야산 석문봉(653m) 가야봉(678m) 연계산행 2020.08.15 블랙야크 100대 명산 20 번째 산행 가야산(678m) - 무료입장 무료주차 네비게이션 검색... 가야봉, #봉평장터, #막국수, #가야산주차장, #등산여행, #서산맛집, #소원바위, #거북바위, #사자바위, #옥양폭포, #충남여행코스, #충남가볼만한곳",2020. 11. 5.
"충남 예산군 가볼 만한 곳""『수덕사』『덕숭산』 그곳은 덕산도립공원이었다","거 같아 한 봉지 사고 주차장은 꽉 찼다 고구마 한 박스 사서 차에 싣고 잠시 쉬었다 출발하니, 오후 1시다 시간이 많았지만, 출발해서 고속도로 입구쯤 오니 사과 파는 부부가 보였다 사과도 구매하고, 오늘 하루는 충남 예산군 덕산도립공원에서,,, 여행겸 등산도 한 덕숭산 수덕사 여행을 마친다",2020. 9. 28.
