header,contents,date
충남 천안시 동남구 풍세면 추천 디저트 맛카페 '웜아이스' + 우드브러쉬 '대나무칫솔...,충남 천안시 동남구 풍세면 추천 디저트 맛카페 '웜아이스' 체크 POINT! | 적당한 주차공간! | 넓은 만큼 충분한 테이블! (대신 인기가 많아서... 항상 여행갈 때 데이트할 때 식사 후에 들고 다니며 양치질 하고 있어요~ 이 날도 챙겨간 날이었는데 마침 리유저블컵을 보니까 ㅋㅋㅋ 일상 리뷰도...,2021. 9. 15.
"충남 천안시, 여행업체에 재난지원금 지원",충남 천안시청 전경./아시아뉴스통신 DB [아시아뉴스통신=고은정 기자] 충남 천안시가 5일부터 13일까지 관광진흥법상 여행업종으로 등록된 관내 여행업체를 대상으로 재난지원금을 지원한다. 천안시에 따르면 코로나19로 다른 업종보다 극심한 경제적 피해를 입고 있지만 정부...,2020. 11. 5.
[충남/천안] 천안시산림조합상설나무시장 : 천안 나무시장에서 토분과 세척 마사토...,"[충남/천안] 천안시산림조합상설나무시장 : 천안 나무시장에서 토분과 세척 마사토, 배양토 구매! 꽃도 있고 저렴해요! 헬로우 미니예요'◡'* 지난... 천안산림조합 #천안시산림조합 #산림조합상설나무시장 #나무시장 #천안가볼만한곳 #천안나들이 #천안데이트 #천안여행 #천안화훼시장 #천안묘목...",2020. 5. 13.
충남 천안시 서북구 키즈카페 쁘띠엘 점프로이. 대형 트렘펄린과 대형범퍼카가 있는...,라구요 여행의 시작부터 꼬이면 안된다!! 복댕이아빠의 다급한 천안탐색 시작!! 일단 괜찮아보이는 키즈카페 한곳을 발견!! 다행히 히어로 플레이파크보다도 '키즈카페'를 가고싶어하던 복댕이도 일단 오케이하면서 기분을 풀어주어서 기분좋게 밥을먹은후 찾아간 충남 천안시 서북구 두정로에...,2021. 2. 9.
충남 천안시 도서관 리뷰 ⑦ - 충청남도학생교육문화원,"여행영어회화, 시니어 문화창작교실, 소설과 영화로 만나는 우리 근대사, 길 위의 인문학, 실용 책놀이지도, 책 읽는 언니오빠 멘토 등 여러... ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/passdongs/221061910838 충남 천안시 도서관 리뷰 ⑦ - 충청남도학생교육문화원",2020. 2. 5.
충남 천안시 오픈채팅방 모임 코로나19 확산..누적 17명,"재판매 및 DB 금지] (천안=연합뉴스) 이은중 기자 = 충남 천안시는 사회관계망서비스(SNS) 오픈채팅방 모임을 통해 신종 코로나바이러스 감염증(코로나19)이 확산하고 있다고 5일 밝혔다 해당 오픈채팅방은 여행 관련으로, 지난 2일 4명이 확진 판정을 받은 것을 시작으로 현재까지 모임...",2021. 8. 5.
"충남 천안시 임시선별진료소, ‘조용한 전파 사전 차단’ 제역할 톡톡","누적 5355명 검사, 숨은 확진자 10명 발견 [아시아뉴스통신=고은정 기자] 충남 천안시는 전 시민 대상으로 운영 중인 임시 선별진료소가 숨은... 건아보카도 #필란트로피 #김포맛집 #인천맛집 #봉사활동 #경찰소식 #홍보 #혼밥_혼술 #사진으로보는세상 #포스트코로나 #마스크 #감염 #여행사진 #정치",2021. 1. 5.
[ 충남 천안시 - 강빙구 카페투어 ] - 리스본오니?,"충남 천안시 동남구 청수14로 60 1층 리스본오니 영업시간 - 매일 12:00 ~ 23:59 주차 가능(지하 1~3층) 1668-3399 (리스본오니 문의) 사장님 인스타 참고... 메뉴를 주문하면 여행티켓 같은것을 주시더라구요. 컨셉이라고 설명해주셨어요. 하지만 이런 센스 굿!! 이날은 아이스 바닐라라떼, 생과일오렌지...",2020. 12. 2.
촬영ㅣ6월 3주 충남 천안시 주요 소식,"지난해 천안에서 발생했던 아홉 살 아동에 대한 여행가방 학대사건을 기억하는 분들이 많으실텐데요, 지금까지도 전국적으로 아동학대 사건이 끊이고 않고 발생하는 가운데서 천안시가 피해아동 조사담당 공무원이 겪는 폭언과 폭행으로부터 생기는 불상사를 예방하기 위해 이들에게 전국...",2021. 6. 22.
충남 천안시 ‘천안삼거리휴게소 독립미술관’에서 2021년 3월 20일,"#거산투어 로 구례 여행을 마치고 돌아오며 #천안삼거리휴게소 에서 작품을 감상하고 #천안삼거리휴게소 #독립미술관 충남 천안시 동남구 쉼1길 42 (구성동 155-) 천안삼거리휴게소 독립미술관은 3ㆍ1운동 및 임시정부수립 100주년을 기념해서 유관순 열사, 아우내 장터 만세 운동, 독립기념관이...",2021. 3. 22.
