header,contents,date
"충남 청양군 당일치기 여행 (고운식물원, 장곡사)","추석 연휴에 예전 독서모임 형아들이랑 청양으로 여행을 다녀왔다. 셋 다 안 가본 지역을 찾다 보니 청양으로 가게 됨 ,, 그리 가볼 만한 곳이... 출처 : 네이버 지식백과, 장곡사(죽기 전에 꼭 가봐야 할 국내 여행 1001) 여긴 장승공원 여긴 장곡사 상대웅전 사방에서 빛이 들어오는 명당에 있는...",2021. 9. 26.
"봄시즌 비대면 관광지 - 곱디고운 꽃 천지 숲속, 충남 청양군 고운 식물원","곱디고운 꽃 천지 숲속, 충남 청양군 고운 식물원 지나는 걸음마다 머무는 눈길마다 모든 풍경이 화사하고 아름답게 빛난다. 겨울날의 앙상한... 여행 정보 고운식물원 - 주소 : 충청남도 청양군 청양읍 식물원길 398-23 - 문의 : 041-943-6245 - 홈페이지 : http://www.kohwun.or.kr/ 여행 팁 - 고운 식물원은...",2021. 4. 30.
"#25. 충남 청양군 가볼만한 곳, 칠갑산 천장호출렁다리 ※알파씨의 국내여행※",출렁다리이다 한바퀴 산책하고 다시 출렁출렁 출렁다리 건너서 돌아오면 끝!! #반나절여행 #데이트코스 로 좋은 곳 같다 - 나중엔 엄마아빠랑 안올거야 ㅠㅠ 산과 물이 함께 있는 곳은 어디든 최고지 ㅎㅎ #알파씨의국내여행 #국내여행 #알파씨여행기 #알파투어 #알파씨추천장소 #청양추천창소 #알파씨,2020. 10. 28.
[충남 청양군] 천장호 출렁다리 / 가을단풍여행 / 나들이코스 / 산책코스,세상에나 요즘 가을 날씨 너무너무 좋잖아요~ 가을 나들이 코스 소개해 드릴께요 ❤️ 천장호 출렁다리 위치는 충남 청양군 정산면 천장리 공원 이용시간은 9:00-18:00 까지이며 야간개장은 일시 중단 되었다고 합니다! 주차장이용료 및 천장호 입장료 무료 와아아아아아— 길 따라 쭈-욱...,2020. 11. 8.
"유튜브 동영상 및 사진 추가)천장호 출렁다리, 충남 청양군, 청양호 출렁다리","5m 시설현황 : 출렁다리, 용 및 호랑이 조형물, 등산로 한국기록원 인증 2017년 6월 19일, 출렁다리 총길이 207m From http://www.cheongyang.go.kr/tour/sub01_01_03.do #천장호 #출렁다리 #천장호출렁다리 #청양호 #청양호출렁다리 #충남 #청양군 #정산면 #천장호길 #청양여행",2020. 8. 17.
충남 청양군 알프스 마을 깡통열차! 아이들이 좋아해요!!,- 충청남도 청양군 정산면 천장리 164-1 - 알프스 마을 고추로 유명한 청양군 알프스 마을의 깡통열차를 타러 다녀왔습니다. 아이들은 5~6세구요.... 받기 힘들것 같으니 혹시라도 주변을 가실일이 있으시다면 겨울을 피해서 가보시는 것도 좋을것 같습니다. #알프스마을 #깡통열차 #힐링 #여행 #놀이터,2020. 10. 11.
청양군 여행(고운 식물원) 둘,청양군 여행(고운 식물원) 둘 2020. 4. 30. (목) / 청양 고운식물원 고운식물원 충남 청양에 위치한 고운식물원은 1991년 부지조성을 시작하여 1997년 식물원 조성인가 후 2003년 4월 28일 개원까지 다양한 식물의 구입 및 식재 작업을 통해 만들어졌습니다. 동양 최고 수준의 식물원 조성이라는 목표 아래 총...,2020. 5. 12.
메이크업 충남 홍성군 홍성읍 오관리 홍성시내 홍성미용실 헤어두비취 예산군 청양군,가능합니다 #홍성파마#홍성미용실#헤어두비취#내포염색 #홍성에서 #충남여행 #홍성파마... 홍성멋집 #내포맘 #홍성읍 #청양#대천 #보령#홍성여행 #청양군 #내포신도시 #청운대학교,2021. 8. 3.
친구들과 충남 청양군 오서산 여행등,친구들 모임이 있어 충남 청양에 다녀 왔습니다. 맛나는 소고기도 먹고 꿀. 전어등 맛나는 것을 많이 먹었습니다. 처음 가본 청양 정말로 멋지고 좋았습니다. 다음에 시간이 되면 다시한번 가 볼 계획입니다.,2020. 10. 22.
[충청 남부 내륙 여행] 청양군 -> 공주시 -> 영동군 with 모친,"ㄷㄷ) 천장호출렁다리는 청양군 계룡산 등산로 입구 쪽에 만들어진 한국에서 가장 긴 출렁다리인데, 출렁다리 중에서는 가장 크겠지만 그냥... 전체적으로 보면 충남 내륙지방의 평평한 가운데 낮고 동그란 야산들이 가끔 솟아있는 지형도 신선했고 세종시의 놀라운 발전이 신기했으며 공주시를 볼...",2020. 9. 6.
칠갑산얼음분수축제 2021 충남 청양군2020.12.24 ~ 2021.02.14진행중 다시 찾고 싶은...,"14 전화번호041-942-0797~8 주소충청남도 청양군 정산면 천장호길 175-11 행사장소알프스마을 주최알프스마을 운영위원회 주관알프스마을 이용요금입장권 : 5,000원 썰매 이용권 : 14,000원 / 18,000원 공연시간09:00 ~ 17:00 닫기 #가볼만한축제 #가족여행 #나들이 #빙어·송어축제 #아이와함께...",2021. 1. 25.
