header,contents,date
서울 근교 당일치기로 다녀오기 좋은 [충남 태안군 태안여행] ②,"이어지는 오늘의 추천 여행지 [충청남도 태안군] 입니다. 출처: 한국관광공사 오늘은 태안의 로맨틱한 무드의 관광지를 모아서 준비해 보았는데요! 사랑하는 연인과, 가족과, 친구들과 떠나기 딱 좋은 곳, 충남 태안 그럼 함께 보러 가볼까요? 출처: 한국관광공사 첫 번째는 천리포 해수욕장...",2021. 9. 22.
충남 태안군 서해바다 선상좌대낚시 가족 여행,초보자도 쉽게 할 수 있다고 하더라구요 ㅎㅎ 새벽 6시에 일어나서 간단히 씻고 삼촌과 고모부도 함께 가족 여행을 출발 하였습니다. 태안군 서해바다에 위치한 선상좌대낚시에 성호대좌낚시를 통해서 가게 됬어요!! 선상좌대낚시에 가면 성호좌대낚시 말고 여러 선상좌대낚시 집들이 모여 있습니다....,2020. 5. 3.
"[충남 태안군] 오랜만에 간 서초휴양소, 4만원의 행복 :)",#서초휴양소 #태안 #충남 #태안군 태안 서초휴양소 충청남도 태안군 남면 안면대로 571-12 (남면 진산리 18-2) 서초구민이면서 서초휴양소를 모르는 분들이 많다. 이곳은 학교를 개조하여 만든 곳이다. 우리는 이번 여행을 계획하면서 서초휴양소를 거점으로 선정하였다. 최근에 리모델링을 한것...,2021. 7. 7.
"충남 태안군 몽산포 오션캠핑장, 천리포노지캠핑 (91'th 여행 with 봉구) 2020.9.4~9.6",#몽산포오션캠핑장 #몽산포해수욕장 #태안반도 #태안군캠핑 #태안군노지캠핑 #천리포해수욕장 #천리포노지캠핑 #조개잡이 #갯벌 #버스타는사람들(BTS) 최근 들어 거의 동해안과 중부 내륙쪽 여행만을 다니다 보니 서해안 해변쪽을 가본지가 너무 오래된 듯 하다. 주말마다 이어지는 서해안...,2020. 9. 15.
태을암의 봄 - 충남태안군 여행,"태을암(太乙庵) 태을암(太乙庵)은 충청남도 태안군 태안읍 백화산(白華山)에 있는 조선시대 경상도 의성현의 태일전을 이건한 암자로 태을암... 충남지역에 특히나 이런 어려운 사찰이 많은 것은 이 지역불심이 약해서일까. 다행히 주지스님이 불사를 발원하고 계신다고 한다. “나무 한그루, 풀...",2020. 4. 19.
[ 충남 태안군 안면도 여행 ] 여자혼자 수국사진 찍으러 팜카밀레 허브정원,먹어봤으니 됫다~ 이렇게 저의 생애 첫 충남 태안군 안면도 여행! 알차게 구경하고 돌아왔습니당! ▼ 안면도에서 묵었던 숙소 ▼ https://blog.naver.com/flynabiyaa/222422312543 ▼ 안면도 가볼만한 곳 ▼ https://blog.naver.com/flynabiyaa/222440209047 https://blog.naver.com/flynabiyaa/222441067265 #안면도...,2021. 7. 25.
국내여행 : 충남 태안군 몰디브 펜션,"짧은 #태교여행 을 다녀왔다. 원래는 울진 쪽으로 가고 싶었지만, 장거리 운전이 무리가 될 것 같아서 #수원근교 #가볼만한곳 으로 알아 보던중... 나는 #네이버예약 을 통해서 나르비1호(스파) 방으로 예약~ #충남 #태안군 몰디브 #펜션 https://www.yanolja.com/pension/3003344 아침에 간단히 마트에서 저녁...",2021. 3. 1.
충남 태안군 몽산포해수욕장 가족여행 첫 캠핑 출발^^,물론 당일치기로 다녀오는거지만 기대반 설렘반으로 #충남태안군으로 출발~~ 달리고 계속달려 2시간반에 걸려 드디어 #몽산포해수욕장 도착~~ 저는 조수석에 앉아 쿨쿨 잠만잤네요! 공기도 좋고~ 풍경도 좋고~ 기분도좋고~ 1시를 조금 넘겨 점심시간에 도착을 하였네요 ㅎㅎ 일단 배가고프니...,2021. 6. 3.
"국내여행) 충남 태안군 ""세계 튤립 축제""","하요�� 오랜만에 여행지 한곳 추천드리러 왔어용 ㅎ 자꾸 식당만가는것같아. . 진즉에올리고포스팅한다는것이 요렇게 뒤늦게올리네유 ㅎ... 너무알록달록 예쁘쥬?ㅎ 이번 축제는 태안군 안면읍에 위치한 코리아플라워파크에서 매년 4월마다 개최하고 있는데, ‘2020 태안 세계튤립축제’는 4월...",2020. 10. 15.
"[안흥항커피] 충남 태안군 로스터리카페, 신진도카페, 연포해수욕장카페, 태안여행코스",[안흥항커피] 충남 태안군 로스터리카페 신진도 카페 연포해수욕장 카페 태안여행코스 화요일-일요일 10:00 - 21:00 매주 월요일 휴무 안녕하세요 잇님들 : ) 코로나가 요즘 또 극성인데 다들 안전하게 잘 지내고 있으신가요..? 저는 여름휴가를 가려고 했는데 확진자가 급 증가해서 타 지역으로 가는 건...,2021. 8. 22.
