header,contents,date
"충남 홍성군 남당항 대하축제, 2박 3일 홍성 차박 여행","제가 이번 주말에 여행을 좋아하시는 아빠를 따라서 가족 다 같이 반즉흥적으로 충남 홍성으로 차박 여행을 다녀왔어요! 아빠는 평소에 엄마랑 두분이서 시간이 날 때마다 차박 여행을 다니곤 하시는데, 이번엔 저랑 동생도 끼워주셨어요ㅋㅋㅋㅋ 제가 일요일에 제과학원에 가느라 금요일 퇴근 후...",2021. 10. 10.
"엄마의 맛을 기억하다, '한식뷔페 내포기사식당' - 충남 홍성군","* 한식뷔페 내포기사식당 : 충남 홍성군 홍성읍 충서로 1547(대교리 420-10) - 전화 041-634-7002 - 영업시간 : 오전6시~오후8시 30분(일욜엔 오후 6시까지)... 우리는 지난 홍성여행에서 우연히 찾아간 집이었지만 이미 유명한 식당으로 지역주민, 주변 건설현장 노동자(출근수첩이 있다), 여행자 등 식사...",2021. 9. 7.
[여행] [충남 홍성군] 천수만 회센터에 가다,"[여행] [충남 홍성군] 천수만 회센터에 가다 비대면으로 예배를 드리다가 오랜만에 제한적이나마 대면예배를 드린 지난달 25일주일에 보고 싶던 얼굴을 보면서, 바람이나 쐴 겸 서해바닷가에 한번 다녀오자는 이야기가 있어서 추진해 보라고 했고, 카톡문자로 날짜와 인원을 조정해서 오늘 아침...",2020. 11. 12.
"충남 홍성군 당일치기 여행/남당항, 어사리노을공원,속동전망대(노을,일몰)",비추요 어사리 노을 공원 [카카오맵] 어사리 노을공원 충남 홍성군 서부면 어사리 490-1 http://kko.to/2KZxmDWYp 남당항에서 2km 떨어진 곳에 있는 어사리... 여기 한적해서 거리두기 가능 언택트 여행지로 최고다!!! 자전거 도로를 따라 둑?이 있길래 삼각대 놓고 찍은 사진! 완전 마음에 든다 ㅎㅎㅎㅎ 아직...,2020. 10. 20.
충청남도 홍성에 숨겨진 명소 구석구석 살펴보기 [충남 홍성군 안면도],"지도출처: 네이버지도 그럼 ""충남 홍성군과 안면도 여행"" 추천지를 살펴보겠습니다. 출처: 한국관광공사 첫 번째는 궁리포구&속동전망대 입니다. 출처: 한국관광공사 서쪽의 임해관광도로를 여는 출발점으로 홍성군의 소박한 포구인 ""궁리포구""는 마을 지형이 활처럼 생겨 궁리포구라고 합니다....",2021. 7. 7.
"[충남/홍성군&내포신도시] 충남 도서관, 황금코다리 홍성점, 용봉산_2020년 11월 5일(목)","자미원, 홍예공원, 용봉산(龍鳳山) 황금코다리 식당으로 올라가는 길가에 소복이 핀 프렌치 매리골드 #충남도서관 #용봉산 #龍鳳山 #자미원 #홍예공원 #충남도청 #황금코다리 #황금코다리홍성점 #홍성점 #충남여행 #충남추천여행 #충남가볼만한곳 #홍성군 #홍성 #홍성군가볼만한곳 #팸투어...",2020. 11. 6.
충남 홍성군 서부면 남당리 차박 명소 '남당항' - 차박 여행,충남 홍성군 서부면 남당리에 남당항이 있습니다. 차박지로 유명한 곳입니다. 갑니다. 일몰시간에 맞추어 갑니다. 도착하였습니다. '홍성 남당항'입니다. 이곳은 항구에 온 자동차들입니다. 이곳에서의 옆쪽에는 엄청 넓은 차박할 수 있는 공간이 나옵니다. 그 옆을 보면 트레일러 외 차박하러 오신...,2021. 6. 8.
충남 부동산 홍성 부동산 단독주택 전원주택 홍성군 농가주택 홍성읍 대법원경매,174 (말소기준이후자 소멸예상) 안녕하세요 ^^ 오늘 매물은 충남 홍성군 홍성읍에 소재한 단독 전원주택 입니다 . 주변은 단독주택 및 농경지... 사업번창을 기원 합니다 혹시 시간 되실때 저희 카페 방문하시여 회원 가입 부탁 드립니다 여행.맛집.사업홍보 부동산매물 회원님들과...,2021. 4. 1.
충남 홍성군 서부변에 위치한 홍성호로 겨울 붕어 낚시 다녀왔어요...,충남 홍성군에 위치한 홍성호 랍니다. 토요일 점심을 차려 놓고 점심을 먹으려는데... 같이 낚시하던..가까운 지인의 전화가 울리더군요.... 어이..... 자~~ 1박2일의 붕어 낚시 여행 같이 해 보실까요....!!! 도착한 홍성호는 얼음이 전혀 얼지 않았어요.... 날씨도 엄청 좋고...따뜻하네요.... 제방에...,2020. 12. 28.
2020.3.22(일) 충남 홍성군 용봉산 381m 등산,"이루어져 ‘충남의 금강산’이라 불릴 만큼 아름다웠다. 특히 바위와 소나무가 많아 그 어울림이 멋스러울 뿐만 아니라, 바위가 빼어나 곳곳에... 홍성군의 진산으로 1973년 가야산(678m)·덕숭산(495m)과 함께 덕산도립공원으로 지정되었다. 산 전체가 바위산이며 산의 좌우에는 백제시대의 고찰...",2020. 3. 24.
