header,contents,date
충북 괴산 사찰여행 천년고찰 보개산 각연사 [괴산군SNS서포터즈],"충북 괴산군에는 군자산, 도명산 등 알려진 산이 많아 산행인들에게는 친숙한 곳이지요. 산이 많은 곳에는 그만큼 청청 계곡이 어우러져 찾는 발길이 이어지게 마련이지요. 얇은 봄바람이 스치고 마알간 햇살이 봄의 색을 입히는 날 보개산 중턱에 자리 잡은 고즈넉한 각연사를 찾았습니다....",2021. 3. 22.
(충북 괴산군) 아이와 함께 가기 좋은 괴강관광농원 캠핑장 (놀거리 풍부함),가족 여행으로 충북 괴산군에 있는 화양구곡을 트래킹 하고 난생 처음으로 카라반을 빌려 숙박을 해 본 이곳 괴강관광농원 .캠핑장 앞에 아름다운 괴강이 흐르고 산책로와 아이들 놀거리 시설이 많아서 내가 정말 대만족 했던 캠핑장이다. 아무튼 오늘은 이곳 카라반 이용후기를 이야기 해보도록...,2021. 10. 7.
충북 가볼만한곳 괴산군 여행코스 문광저수지 갈은구곡 연하협구름다리 산막이옛길...,"충북 가볼만한곳 괴산군 여행코스 문광저수지 갈은구곡 연하협구름다리 산막이옛길 자연드림파크 자연과 문화가 살아 숨쉬고 사계절 내내 아름다운 충청북도 괴산군은 충, 효, 예를 으뜸으로 삼아 충신, 효자, 열녀가 많기로 이름난 고장 이다. 사계절 많은 여행자들이 찾는 아름다운 산막이옛길...",2020. 9. 29.
"[충북 여행] 괴산군 문광 저수지, 은행나무 길",찾아가시는 길 : 충북 괴산군 문광면 양곡리 16 사진을 하시는 분들에게는 주왕산 주산지만큼이나 유명한 곳입니다. 이 사진은 2013년 11월 6일에... 괴산은 대추가 유명한 곳이기도 합니다. 저 고목은 아직 살아있는지 모르겠습니다. 즐거운 여행을 하시기 바랍니다.,2021. 9. 28.
"북스테이여행 '충북 괴산군 숲속작은책방,인천 강화군 이루라책방,전북 완주군...",최병일 여행레저전문기자 ******@********.*** #북스테이여행 #충북괴산군숲속작은책방 #충북괴산숲속작은책방 #숲속작은책방 #괴산숲속작은책방 #인천강화군이루라책방 #인천강화이루라책방 #강화이루라책방 #이루라책방 #전북완주군삼례책마을 #전북완주삼례책마을 #완주삼례책마을 #삼례책마을,2021. 8. 27.
"여행의 삶[2020.7.4~5.토~일] ""친구들과 여름휴가 - 충북 괴산군""","<육룡이 십르샤와 함께 하는 여름 휴가> - 충북 괴산군 '그리고 봄' 경남팀과 서울&강원팀이 따로 출발해서 충북 괴산군에서 만나기로 했던 이번 여행! 시작합니다 ㅎㅎ 경남팀 4명 출발 ~ ㅋㅋ 충북에 도착해서 <황금정>이라는 음식점에서 갈비탕 & 해장국 & 올갱이전 ,감자전을 먹고 <그리고 봄...",2020. 7. 10.
생생정보 올갱이-감자캐기-괴산트리하우스가든-수옥폭포<충북 괴산군>,"행 (아주 재밌는 여행) <충청북도 괴산> 둔율올갱이마을 주민 다슬기를 충청도 방언으로 ""올갱이""라고 해요. 여기가 달천강인데요. 올갱이가 많이 잡혀요. 다슬기 제철 맞은 '올갱이'로 만든 음식 #둔율올갱이마을 (#괴산다슬기) 충북 괴산군 칠성면 둔율길 142 ☎ 043-830-3903...",2021. 6. 23.
여행 - 충북 괴산군 청천면,"안녕하세요 비글현이 입니다 지난 주말에 회사 형님들과 형님들 중에 한분의 고향인 충청북도 괴산군 청천면에 있는 부성리 라는 곳을 다녀 왔어요 ^ ^ 사실 이번 여행은 버섯산행이 목표 였는데 "" 싸리버섯 ""이라는 것이 지금 나올때라는 소리를 듣고 가게 되었어요 저희가 간 "" 부성리 "" 라는 마을은...",2020. 8. 25.
"[유람선] 충북 괴산군 산막이옛길, 유람선 탈 수 있어요. (내비게이션 목적지...",여행으로 계획하며 다녀왔던 지난 5월 부산 여행. 그 때 짜릿했던 하루 당일치기 여행의 기억으로 다시 일상에서 힐링하는 마음으로 떠나 본 충북... 다소 어설퍼보이지만 언제 오겠냐 싶어 찾은 이 곳. 유람선 가격도 사이버 괴산군민 혜택으로 20% 할인 정확하게 받고 여행 포인트로 찾았던 기,2021. 6. 26.
［내고향충북괴산군청안의가을］이게 바로 가을여행/조선밤/토종밤줍기/가을향기 물씬...,가을의 향취를 물씬 느낄 수 있는 #충북괴산군 #청안의가을 이곳은 괴산군 보다는 #증평 이 더 가까운 곳이다. 따스한 가을 햇살을 반기며 남편과 나는 장화를 신고 출발했다. 어디로? 어릴적 소꿉친구들과 자주 올라 밤을 주어오던 곳 옛 기억 삼아 산에 가기로 했다. #가을산 은 이렇게 풍성한...,2020. 10. 11.
