header,contents,date
충북 단양군 | #도담삼봉 #석문 #구인사 #사인암 #단양8경 1박2일 #국내여행,산책길 좀 걷다가 근처 편의점에 들러 맛있는거 잔뜩 사서 호텔로 돌아와 펜트하우스 3을 보고 잠들었당 ㅎㅎ 도담삼봉 충북 단양군 매포읍 삼봉로... 고마워요 신랑❤️ #국내여행 #국내1박2일 #1박2일여행 #충북여행 #단양여행 #자연여행 #국내자연 #단양가볼곳 #힐링여행 #여름휴가,2021. 8. 9.
충북 단양군 [단양도담삼봉. 단양석문] 멋진여행 소개,충북 단양군 [단양도담삼봉. 단양석문] 멋진여행 소개 우리가 이곳에 도착한 시간은 아침 7시네요 오늘로서 이곳은 벌써 세 번째 여행입니다 해가 뜨지 않은 상태는 아니고 날이 흐려 구름 속에 묻혀 있는 것 같습니다 영업 재개는 하지 않은 상태이고.. 코로나 19로 주차장은 무료로 이용할 수...,2020. 11. 19.
충북 단양군여행 단양군관광명소 단양군가볼만한곳 단양 수양개 선사유물전시관,충북 단양군여행 단양군관광명소 단양군가볼만한곳 단양 수양개 선사 유물전시관 충북 단양군 적성면 수양개유적로에 자리하고 있는 수양개 선사 유물전시관입니다 이곳의 선사유적지는 충주댐의 건설로 인하여 수몰되는 지역을 조사하던 충북대학교 박물관 소속의 발굴 조사팀에 의해 발견된...,2020. 1. 13.
"[글로벌가족신문] 충북 단양군, 천연동굴 미지의 땅속 여행 명소로 인기",영겁의 시간 자연이 빚어낸 녹색쉼표 단양의 천연 동굴들이 미지의 땅속 여행 명소로 큰 인기를 끌고 있다. 이른 더위가 찾아오면서 1년 내내 14∼15도를 유지하는 천연동굴 내부는 발을 들이는 순간 지친 몸을 치유해주는 힐링 휴식처가 된다. 전형적인 카르스트 지형인 단양군은 180여개의 천연...,2021. 6. 24.
온달관광지·온달오픈세트장(연개소문 촬영지)·온달동굴/충북 단양군,"27 경 로 : 베론성지 → 온달관광지 → 구인사 컨 셉 : 가을바람 따라 당일치기 제천, 단양 여행 2019년 10월 말, 제천, 단양을 여행할 때만 해도... 넓은 주차장 광장에 말 달리며 화살을 쏘는 온달장군의 조형물을 보고서야 '아~ 이곳 충북 단양군이 서울 광진구와 지자체 간 서로 온달(溫達) 장군의 역사...",2021. 1. 7.
[충북 단양군] 단양볼거리_고수동굴,"교과서에서 보고 수학여행 때 났을 법한 고수동굴을 내 의지로 가보았다. 고수동굴 충북 단양군 단양읍 고수동굴 매표소 소백산 더덕동동주 매운칼국수에서 위로 올라가면 바로 고수동굴! 그러니까 여러분, 꼭 소백산 더덕동동주 매운칼국수에서 맛있는 식사하고 오세요. '나는 별로 배 안고프니까...",2021. 8. 15.
충북 단양군 황정산 천년고찰 원통암 각문 스님과의 특별한 하룻밤 ‘한국기행’,"역사와 풍습, 건축, 문화의 향기를 느끼고 전하는 아름다운 시간 여행이기도 하다. 우리가 모르는 또 다른 우리의 이야기를 담아내는 살아있는 현장 다큐멘터리 프로그램이다. 충북 단양군 황정산 천년고찰 원통암 각문 스님과의 특별한 하룻밤 ‘한국기행’ 기사 원문 보기",2021. 9. 30.
<온달>은 없고 <천하절경>만...온달산성 (충북 단양군),산성 안쪽 중간에 있는 빨간 나무 의자 멋진 풍광을 바라보며 잠시 쉬면서 옆지기는 힐링 저는 사진찍느라 노가다 올라갈 때는 동문 내려갈 때는 북문으로 온달산성 비록 짧은 산행이었지만 길고 강렬한 인상이 남는 곳이네요 단양 여행시 꼭 들려보길 추천합니다 1792020 #충북 #단양군,2020. 9. 18.
고수동굴 - 충북 단양군 단양읍,"주차장과 고수동굴 입구쪽의 화장실 고수동굴 충북 단양군 단양읍 고수리 130 충북 단양군 단양읍 고수동굴길 8 (고수동굴 입구 주소)... 1,500원 여행시간·여행시기 · 여행시간 약 50분 안팎 정도 (동굴 입구 들어가서 천천히 나올 때까지) · 여행시기 1년 내내 좋음. 문의안내 · 전화 043-422-3072...",2020. 1. 18.
"어래산 · 시루봉 등산코스 시간 여행정보, 강원도 영월군 · 충북 단양군 · 경북 영주시","어래산 · 시루봉 등산코스 시간 여행정보, 강원도 영월군 · 충북 단양군 · 경북 영주시 어래산(御來山, 1063.6m)은 백두대간 선달산에서 북서쪽으로 뻗어 내려온 능선으로 약 7kmm거리에 있으며 강원, 경북, 충북 삼도의 경계를 이루고 있는 산이다. 시루봉(950m)은 어래산에서 북쪽능선으로 약 3km...",2021. 1. 19.
