header,contents,date
충북 보은군 여행 가볼만한곳,작년 11월부터 계속 이어지고 있는데 8월의 여행지는 횡성입니다. 보은과는 또다른 매력을 만나게 될 것 같아서 벌써 설레이네요 #국내여행 #충북여행 #보은여행 #보은군여행 #충북보은군여행 #속리산여행 #연꽃단지 #정이품송 #충북보은군가볼만한곳 #만수계곡 #김세복대추밀냉면 #보은맛집,2021. 8. 4.
[충북 보은군] 당일치기 best4 코스:: 말티재 전망대/속리산 국립공원/법주사,너무나도 따갑다 날씨 좋은 날에 방문에서 숲속 자연관찰길도 걷고 세계문화유산으로 등재된 법주사 또한 구경하였다 충청도 여행은 거의 와보지 못했는데 당일치기 충북 보은군 여행 코스로 위 best4 추천해 준 곳에 가보면 괜찮은 것 같다 #속리산법주사 #법주사가는길 #법주사입장료 #충북보은군,2021. 8. 25.
청주 미원동산 인근 충북 보은군 산외면 크레용 펜션 즐거운 가족여행,오늘은 충북 보은군 산외면에 위치한 크레용 펜션에서 가족 여행을 즐겁게 다녀온 이야기를 소개드립니다. 사실 저희 집과 거리가 멀지 않은 장소에 있어서 구지 펜션까지 가서 지낼 필요가 있냐 라고 말씀하시는 이웃님도 계실꺼라 생각됩니다. 정말 저희집과는 차로 20분이내 거리에 위치하고 있기...,2021. 4. 26.
충북 가족 여행 숙박은 속리산숲체험휴양마을 - 법주사 - 보은군농경문화관,충북 가족 여행 숙박 : 속리산숲체험휴양마을 - 법주사 - 보은군농경문화관 이번 충북 가족 여행은 1박2일코스로 여유롭게 고즈넉히 다녀왔는데요. 무엇보다 만족했던 곳은 다양한 보은 명소 뿐 아니라 충북 숙소였던 속리산 숲체험휴양마을이었어요. 속리산 자락에 있기 때문에 전날 밤에도...,2020. 1. 27.
"충북 여행~2 보은군 수리티재, 우당고택 나들이","가파른 고개를 올라 흠뻑 흘린 땀이 시원한 바람에 금새 증발해 버렸다. 너무나 상쾌한 바람이었다. 앙증맞은 한그루의 소나무를 배경으로도 한장... 오롯이 나 혼자만 누린 어느주말 오후의 힐링타임~~ 아름다운 충북, 보은군 수리티재 푯대봉에서의 행복한 오후를 보낸 행운의 날...",2020. 10. 6.
충북 보은군 피톤치트 힐링여행! 정이품송과 속리산 법주사,"20210925 여행을 떠나요~♬♪♩ 즐거운 마음으로~ 사실, 여행은 아니고, 외갓댁을 다녀왔는데요 집에만 있자니 답답하고 그래서 근처 바람을 쐬고... 능인전(충북 유형문화재 제232호) 석가모니 부처님과 그의 제자들을 모신 곳으로 능인이란 부처님을 가리키는 모든 중생들을 교화하여 널리...",2021. 9. 30.
충북보은군맛집 태화루 중식당 삼합짬뽕! 꼬막짬뽕! 맛있는짬뽕인걸로~^^,#충북보은군맛집 #보은군맛집 #태화루#일미식당 #짬뽕맛집#꼬막짬뽕맛집 #얼콩맛집 안녕하세요.얼콩입니다 며칠전에 다녀왔던 짬뽕집... 먹고난후의 느낌 혼자만의 맛 평가...참 잼난것 같아요 더 맛있는 짬뽕을 찾을때까지 얼콩의 짬뽕여행은 계속됩니다 ㅋㅋㅋ 공감괴댓글 ❤,2021. 3. 4.
충북 보은군 공장창고매매 건물 850평 넓은대지 청주(기숙사),관람과 여행 맛난 음식도 드실 수 있는 날이 곳 올 거예요~ 그날을 위해서 덥지만 조금씩 양보하고 배려하는 사회생활하세요~^^ 오늘은 청주시 공장... 드려요~ 충북 보은군 공장창고매매 건물 850평 기숙사 있는 넓은대지 청주시 근방 와우~ 숨어있는 득템할 수 있는 이야기보따리 풀어보아요~^^ 충북...,2020. 8. 21.
충북 보은군 / 올 여름 가볼만한 레어모스펜션 리뷰,2층 계단 경사(매우 위험) 풀장 수위(173cm 기준으로도 애매) 베란다 문 잠금(밖에서 안열림) 코드자리(적음) 이상 여행 포스팅을 마칩니다. 봐주셔서 감사 드립니다! #레어모스펜션 #충북보은군 #보은펜션추천 #보은펜션 #펜션추천 #펜션 #풀빌라펜션 #펜션리뷰 #20만원대펜션 #저렴한펜션 #가성비펜션,2020. 8. 2.
"충북 보은군, 비대면 스포츠관광사업 버츄얼레이스 시작!",#보은군 #속리산 #세조길 #보은가볼만한곳 #부동산투자 #관광지 #관광사업 #가볼만한곳 #말티재 #충북 #충북가볼만한곳 #충청북도 #알파인코스터 #관광사업 #국내여행지 #국내여행 #관광명소 #가볼만한곳 #관광투자 #충청북도 #보은 #대청호수 #대청둘레길 #루지,2020. 9. 24.
충북 보은군 속리산 법주사 주말 나들이 코스,위해 충북 보은군에 속리산 위치한 법주사를 다녀와 봤습니다 다행히 따스한 봄 햇볕이 나들이를 반겨주는 주는 것 같아서 가는 길이 가벼운... 코로나가 종식이 돼서 눈치 안 보고 편하게 여행 다닐 수 있는 날들이 왔으면 좋겠습니다 즐거운 주말이신데 가족과 함게 행복한 시간 보내세요~~^^,2021. 3. 6.
[2021년 4월] 캠핑 속리산사내리야영장/캠핑장- 충북 보은군,"모자 감사 여행에 빠질 수 없는 내사랑 폴카까지 !!! 산책 조금 하고 낮잠을 자줍니다 속리산이라서 근처에 산책할 곳도 있고 아주 좋았음 낮잠... 그리고 입구 쪽에 음식점, 편의점 등이 있고 얼음은 캠핑장에서도 구입 가능 #캠핑 #캠핑장 #속리산 #속리산사내리야영장 #충북보은군",2021. 7. 22.
충북 보은군 사계펜션에서 힐링하기:),A동 봄방 지난 주말 가까운 충북여행을 1박 2일로 다녀왔어요 충북펜션중에 보은군에 있는 사계펜션에서 정말 잘 쉬다 온 여행이야기를 해볼까합니당 사계페션은 오픈한지는 얼마 안되어서 정보가 많이 부족했어요 산속 공기좋은 곳에 있다는 것만 알고 갔는데 기대 이상으로 너무 좋았던 기억과...,2020. 11. 18.
"충북 보은군 벚꽃 명소, 국내 최대규모 벚꽃 자전거 길",ㅎㅎ 보은 대추디저트카페 조은가 영업시간 : 매일 오전10시~오후10시 (연중무휴) 전화번호 : 043-544-5404 주소 : 충북 보은군 보은읍 삼산로4 #벚꽃명소 #보은벚꽃명소 #충북벚꽃명소 #꽃놀이 #벚꽃 #벚꽃엔딩 #보은가볼만한곳 #보은여행 #보은맛집 #보은카페 #보은대추 #보은대추카페 #보은조은가...,2021. 4. 21.
충청북도여행 보은군 법주사 다녀왔어요,충북여행중에 기억에 남는곳 중 하나인 보은군 법주사. 마음이 힐링되는 곳이였어요. 먼저 법주사에 가기전에 보은군에서 버섯전골을 맛보았는데요.정말 버섯이 종류별로 가득 들어가 있어서 건강해지는 맛이였어요.가격도 4명이서 7만원정도 였던걸로 기억해요.밑반찬도 알차게 나와서 정말...,2021. 9. 25.
"""외숙모가 보고 싶다!""(feat. 충북 보은군 회인면 회남면 일대)",2020.05.16(토) #어머니의소원 #엄마의소원 #어머니를기쁘게해드린일 #최고의효도선물 #엄마와함께한오월의하루 #92세소녀의외숙모를찾아서 #충북보은여행 #피반령고개 #보은군회인면 #오장환시인의고향 #회남대교 #카페금린 #달빛호수펜션,2020. 5. 25.
충북 보은군의 교통정보를 알려드림!,"오늘은 보은군을 편리하게 여행할 수 있는 농어촌·시외버스 교통편을 알려드리겠습니다. 농어촌·시외버스 교통편 버스 요금 구분 현행 현금(원) 카드(원) 일반어른 만 19세이상 1,500원 1,400원 청소년 만 13세이상 ~ 18세 1,200원 1,100원 어린이 만 7세이상 ~ 12세...",2021. 4. 22.
카랜드몰 오토캠핑장 충북 보은군 [둥지네 캠핑장] 오픈 임박! 낚시터 / 계곡 / 평상 완비!!,"위치는 충청북도 #보은군 내북면 화전리 355이고요! 화전교를 지나 바로 보이는 예쁜 오렌지색 주택 아래쪽이 캠핑 장소입니다!! 주차는 건물 옆... 플러그도 4개나 꼽을 수 있어서 넉넉하다고 생각합니다 ㅎㅎ 사용자의 편리성을 가장 먼저 생각해서 설계, 설치하고 고객님들의 행복한 여행이 될 수...",2020. 10. 20.
"충북 보은군, 속리산 새로운 명소 '말티재 전망대' 관광객 북적",충북 보은군 속리산 길목 말티재 전망대를 찾는 관광객들의 발길이 이어지고 있다. 말티재는 열두 굽이가 사행하는 뱀처럼 구불구불 숲과 어우러진 가파른 고갯길이다. 이곳은 고려 태조 왕건과 조선 세조 임금과도 인연이 깊다. 옛사람들은 말티재를 박석(넓고 얇게 뜬 돌)재라 부르기도 했는데...,2020. 7. 28.
"#24. 충북 보은군 가볼만한곳, 말티재 전망대 (feat. 속리산 ) ※알파씨의 국내여행※",사진찍기 - 나는야 우리집 찍사 진짜 여긴 내가 인정하는 진정한 #노을맛집 이다 아니 #뷰맛집 단풍에도 이쁠테지 속리산이 있으니까 눈이와도 이쁘겠고 휴 스트레스 받을때마다 가고싶어 아빠 #알파씨의국내여행 #국내여행 #알파씨여행기 #알파투어 #알파씨추천장소 #속리산 #충북보은 #알파씨,2020. 10. 23.
속리산 신화여행축제 충북 보은군 참가비무료,#속리산 #무료 #유네스코 #세계문화유산 #법주사 #충북여행 #충북 https://in.naver.com/seoul-lee1m & ▶이니셜 영문 무료로 새겨 드려요◀ https://post.naver.com/seoul-lee1m?isHome=1 속리산 신화여행축제 2020 충북 보은군 → 코로나바이러스감염증-19 여행정보 변동사항 확인하기 보은군은...,2020. 7. 30.
"충북의 겨울 가볼만한 곳, 보은군 임한리 소나무숲과 우당고택의 겨울 설경!","세상의 모든 여행, 패밀리어입니다. 밤새 눈이 많이 내렸네요. 소복히 쌓인눈이 세상을 덮으니 아름다움과 눈부심이 공존하는군요. 오늘은 눈내린 경치기 궁금해서 찾아가본 충북 보은군의 임한리 소나무숲과 우당고택 설경을 한번 소개드려볼까해요. 보을, 임한리 소나무숲 임한리 소나무숲은...",2021. 1. 7.
"충청북도 남부(영동군,보은군,옥천군)여행 스탬프투어",남부여행 스탬프투어북과 방역주머니 스탬프장소 오시는 길 안내 정지용문학관 충북 옥천군 옥천읍 향수길 56(하게리39) 장계관광지 충북 옥천군 옥천읍 안내면 장계1길57 보은군 산림레포츠 시설 충북 보은군 속리산면 속리산로 596(속리산 산림 휴양시설 관리센터 1층) 삼년산성 충북...,2021. 9. 25.
