header,contents,date
충북 영동군 맛집 능이올갱이국밥 맛있는 대복식당,뚝배기에 담겨나와 끝까지 따듯하게 먹을 수있었던 맛있는 국밥이었어요. 진심 든든하고 맛있게 잘 먹고온 충북 영동군 맛집 대복식당이었네요. #충북영동군맛집 #영동맛집 #대복식당 #능이올갱이국밥 #자연산능이버섯 #자연산버섯음식점 #레인보우영동,2021. 9. 17.
걷기좋은길/충청도 도보여행/트래킹 코스 추천/혼자걷기좋은길/충북 영동군 여행,충북영동 [금강 둘레길] 안내 | 네비게이션(주소)| 주차장 송호관광지 | 충청북도 영동군 양산면 송호로 105(송호리 299) 송호관광지 ☎ (043)740-3228... 이렇게 6Km 즐거운 도보여행은 끝이 났다. 영동군에 괜찮은 둘레길이 많으니 다시 여길 찾아오면 그때는 또 다른 자연이 나를 마주할거라는 기대로...,2020. 2. 2.
충북영동군맛집 :: 보경가든_청국장 짱맛,여행에는 맛집이 빠질 수 없죠. 저희 아부지가 #식객허영만의백반기행 짱팬이시거든요. 꽤 자주 #백반기행 나온 식당 가보고 싶다고 하셔서 이번... 혹시 충북영동군 가실 일 있으시다면 보경가든 청국장백반 강추드리며 안뇽! 나가시는 길에 누룽지도 야무지게 챙겨드시고요. 진짜 안뇽!,2021. 8. 30.
(대전 근교 여행) 충북 영동군 깔끔하고 맛있는 버드실 칼국수,(대전 근교 여행지 추천) 지난 휴일 충청도 여행으로 충북 영동군 황간면을 방문했다. 다슬기가 특산물인 지역이라 충북 영동 황간역 맛집을 검색해 버드실 칼국수에 방문했다.(내돈내산입니다) 황간역에서 샛길로 나오면 더 빠르다. 계단이 조금 가파르니 주의! 도보로 단 7분 걸렸고 아주 작은...,2021. 3. 27.
2020 충북 영동군 햇곶감 나눔 행사 및 용산역 업무협약식,"2020충북 영동 햇곶감 나눔 행사와 영동군, 용산역 업무협약식을 아주 우연하게 보았어요 용산역으로 나간 이유는 춘천으로 가서 산천어 축제를... 그리고 곧 이곳에서 조인식이 있었는데 지역 관광 황성화 및 철도 여행문화 정착을 위한 영동군과 한국 철도 용산역 업무협약 조인식도 보았어요. 물론...",2020. 1. 10.
충북 영동군 여행 조선시대 누각 영동 가학루,"충북 영동군 조선시대 누각 영동 가학루~ 영동 가학루는 충청북도 유형문화재 제 22호이며, 영동군 황간면에 있는 조선시대 지어진 누각이라고 해요. 황간향교 옆에 있는 누각으로 태조2(1393년)에 황간 현감 하청이 설립하여 자연경관을 즐기던 곳이라 하네요. #영동여행 #유형문화재 #영동가학루...",2021. 6. 29.
"충북 영동군 물한계곡, 애견동반 핏들캠핑장","지난 7월, 나와 남편 그리고 우리 댕댕이들과 함께 갔던 영동군. 나와 남편이 여행지 및 캠핑장을 정할 때 항상 먼저 고려하는 것은 1. 대형견과 함께... 바로 충북 영동군 물한계곡에 위치한 핏들캠핑장! 이곳은 대지도 정말 넓고 캠핑사이트 간격도 넓직해 우리만의 캠핑을 즐기기에 딱이었다. 잔디...",2021. 9. 5.
충북 영동군 문화재 영동소석고택,충북 영동군 문화재 영동소석고택 충북 영동군 심천면 초강로6길 26에 위치한 영동 소석고택을 다녀왔습니다. 영동소석고택은 국가민속문화재 제... 보면서 나름 상상을 하게 된답니다. 여행을 가면 그 지역의 고택도 한 군데 둘러 봐야지요! 영동여행에서 찾아가 보았던 영동소석고택입니다.,2021. 9. 9.
"충북영동군,과일천국에는 포도와 복숭아가 주렁주렁","고향같은 #충북영동군 영동군 매곡면 노천리 70 에 왔습니다. #충북영동은 과일의천국,포도 생산이 많은 만큼 #와인의고장 보이는 것은 초록벌판 멀리보이는 낮으막한산 ~ 가슴이 설레입니다. #백숙현윈농촌체험여행 입니다.#언택트여행 입니다. #영동포도협회회장 오영은씨 #복숭아과수원...",2021. 9. 7.
충북 영동군 맛집 자꾸 생각나는 수식당,충북 영동군 맛집 자꾸 생각나는 수식당 영동에 맛있는 국수집이 있다고 해서 바로 찾아갔어요! 보통 충북 영동하면 올갱이 해장국?이 유명하지만 저는 초딩입맛이라 올갱이는 못 먹어서 찾고 찾다가 국수집으로 향했답니당 희희 메뉴는 단촐해요. 4가지 국수종류가 있고 물만두와 잔치비빔밥!...,2021. 4. 22.
[여행] 충북 영동군 월류봉 (2021년 8월),사람 적은 곳에서 힐링하기에 적합한 것 같아요. 월류봉에 도착하면 제일 먼저 보이는 사진 스팟인 정자. 날이 너무 흐려서 이 사진은 포토샵으로 채도를 좀 올려서 편집했습니다 #충청북도 #충북 #영동군 #영동 #월류봉 #둘레길 #드라이브코스 #산책하기좋은곳 #언택트여행,2021. 9. 15.
<충북 영동군 문화재 영동소석고택><영동군 여행 과일나라 테마공원 비대면여행지 추천...,충북 영동군 문화재 영동소석고택 상세글 보고 https://blog.naver.com/nayusi0610/222499859981 (레인보우영동 sns 홍보단 윤은정님 제공) 영동군 여행 과일나라 테마공원 비대면여행지 추천 상세글 보고...,2021. 9. 10.
[명산기행 224번째] 충북 영동군의 갈기산,명산기행 224번째로 선택한 산은 블랙야크 명산100+로 지정된 충북 영동의 갈기산이다. 갈기산은 충청북도 영동군 양산면 호탄리에 있는 산으로... #명산기행 #소풍같은인생 #영동군여행 #영동_갈기산 #갈기산_산행코스 #갈기산_말갈기능선 ##생선국수 #어죽 #도리뱅뱅 #가선식당 #국립공원...,2020. 6. 5.
충북 영동군 천태산,"377회차 산행지 : 충북 영동군 천태산 (인기명산순위 39위) 산높이(m) : 715 위 치 : 충북 영동군 산행코스 : 주차장8:35-영국사9:10-A코스,대슬램9:50... 남쪽으로는 성주산과 그 너머 덕유산이 보인다 충북 영동에 있지만 고속도로와 국도로 바로 연결돼 한나절 여행코스로 손색이 없다. 영국사 일대의...",2021. 6. 7.
