header,contents,date
[휴일나들이] 충북 옥천군 옥천읍 - 구읍(舊邑)여행,"2021년 5월 23일 일요일 점심먹고, 충북 옥천군 옥천읍, 옛 옥천의 중심지였던 구읍으로 짧은 여행을 떠났습니다. 집근처에서 옥천읍으로 가는 시내버스가 있습니다. 시내외곽으로 가는 버스라 타고내리는 사람이 많아 몇 정거장을 지나 조카와 같이 앉을 수 있었습니다. 삼양사거리에서 내려...",2021. 6. 15.
충북 옥천군 옥천읍 옥천 가볼만한곳 7 [옥천 구읍여행],"충북 옥천군 옥천읍에 위치한 문화유산 옥천 구읍 여행으로 구읍 한바퀴를 돌고옴! 옥천 가볼만한곳 7군데를 소개! 토, 일, 공휴일에는 해설사와 함께하는 투어도 운영된다고 한다 나는 이코스로 구읍 한바퀴를 개인적으로 돌아봄! 첫 장소는 #옥천전통문화체험관 옆에 주차장도 크고 새건물이라...",2021. 8. 29.
[충북 옥천군 가족여행] 장령산자연휴양림 - 정지용 문학관 - 풍미당,장령산자연휴양림 충북 옥천군 군서면 장령산로 519 [서울발 기준] 경부고속도로 옥천 톨게이트에서 20여 분 거리 TEL 043-733-9615 맑은 물과 수려한 주위 경관을 자랑하는 금천 계곡이 이 장령산자연휴양림을 관통하고 있습니다. 이 금천 계곡을 쭉 따라 올라갔다가 내려오는 산책 코스가 또 훌륭한...,2021. 9. 30.
충북 옥천군 여행 중 꼭 먹어야 한다는 어탕국수와 도리뱅뱅/ 대박집,"#충북옥천군여행 #충북여행 #옥천군여행 충북 옥천군 맛집 대박집 어탕국수와 도리뱅뱅 #충북맛집 #옥천군맛집 ◆ 대박집 ◆ 전화번호 : 043) 733 - 5788 단체석, 주차, 포장, 예약 가능 영업시간 : 10:00~20:00(추석3일, 설날3일 휴무) 주소 : 충북 옥천군 옥천읍 성왕로 1250",2020. 1. 23.
충북 옥천군 여행 [부소담악],#부소담악 #옥천군대청댐부소담악 #옥천군대청댐정자(추소정) #옥천군8경 #안견의몽유도원도 #주소:충북 옥천군 군북면 추소리 246-6 (추소리 세심원앞 버스정류장 출발) 대전에서 옥천가는길 군북면에서 좌회전훈 산고개길을 하나 넘어 가야되는 겨울 눌이 내리면 조금 접근이 힘들수도 있는...,2020. 1. 28.
충북옥천군여행 20/6/21,생태학습장은 코로나 19로 크로즈 되었네여 옥천국 시내에서 맘스터치에서 햄버거를 사들고 갔었네요 주차장에서 둘레길로 500미터만 가면 멋진 뷰를 만날 수 있어요 대청호생태오백리길에서 너무 아름다운 것 같아요 #충북 가볼만한곳 #충북옥천군 가볼만한곳 #대청호 #대청호 오백리길 #호수 데이트,2020. 6. 22.
충북 옥천군 대형 창고 임대-대전 20분거리,분들이나 여행을 준비하시는 모든 분들이 안전과 건강에 이상이 없으시길 바라겠습니다 저 또한 이번 명절에는 부모님 산소만 다녀오고 모처럼... 042-477-9901 충북 옥천군은 대전에서 차로 20분 정도의 거리로 중부선에서 물류 단지로 가장 선호 하는 물류 중심의 지역입니다 옥천 ic에서도...,2021. 9. 16.
충북 옥천군 먹거리 여행1탄,4년 전 오늘 충북 옥천군 먹거리 여행1탄 안동 영주 예천 의성 가람누수 설비 입니다.매달 특정한 건물을 방문해서 유지보수 점검하는일을 하게 되어 그 지역에 맛집도 방문하게 되는 기회가 생겨서 정보를 알려드릴께요^^ 제가 지금 까지 먹어본 만두 중에 손꼽힐 정도로 저 개인적으로는...,2021. 5. 15.
충북 옥천군 보청천 < 예곡보 >,"충북 옥천군 청산면 예곡리에 위치한 예곡보에 다녀왔습니다 여름이면 붕어가 사는 강이나 보를 자주 찾는 수초 사랑입니다 무더위도 피할 수 있고... 흐르는 충북, 강원권입니다 그래서 여름은 수초 사랑의 주 무대가 서에서 동으로 이동을 하게 되는 계절이랍니다 그런데 이번 낚시여행은 초행길에...",2020. 7. 4.
[충북] 옥천군 여행지 추천 / 가볼만한 곳 :: 수생식물학습원,충북 옥천군 수생식물학습원 하절기 운영시간 10:00 ~ 18:00 사전 예약 필수 사진찍는 걸 워낙 좋아하다보니 가끔 친구들이 가보고 좋은 곳을... 잘 꾸며져 있어서 입장료 오천원이 전혀 아깝지 않았던 수생식물학습원!! 만약 옥천 여행을 계획 중이시라면 이곳에 방문해보시는 것도 추천해드립니다! ^0^,2020. 6. 10.
