header,contents,date
충북 체험여행 음성군품바재생예술체험촌으로 떠나요,다양한 프로그램이 있는 음성군품바재생예술체험촌으로 충북 체험여행 떠나봐욤! 현재는 장터나 길거리를 돌아다니며 동냥하는 각설이나 걸인의 대명사로 알려져 있지만 품바란 타령의 장단을 맞추고 흥을 돋우는 소리로 민초들의 현실에 대한 한과 울분을 표출하는 한 방법이었답니다. 품바...,2021. 5. 28.
충북 음성 가볼만한곳 음성군 품바재생예술체험촌 구경해요!,충북 음성 가볼만한곳 음성군품바재생예술체험촌 글/사진 춤추는 쥬디 국내의 다양한 축제 및 프로그램 정보를 전하는 여행작가 쥬디입니다. 이번에는 충북 음성군인데요. 음성군품바재생예술체험촌에서 다양한 볼거리와 체험을 할 수 있다고 해서 소식을 가지고 왔어요. 음성군은 충북에서도...,2021. 6. 9.
"충북 음성 가볼만한곳, 주말 아이와 가족여행 음성군품바재생예술체험촌","충북 음성 가볼만한곳, 주말 아이와 가족여행 음성군품바재생예술체험촌 충북 음성에는 품바로 유명하다고 합니다. 그래서 품바재생예술체험촌 이라는 곳도 있어 아이들과 함께 여러가지 만들기 체험이 가능해요. 한적하면서 힐링 여행지도 많고, 아이들과 즐길수 있는 여행지가 많아서 주말...",2021. 5. 26.
[기자단] 충북 음성군 가볼 만한 곳 '젊은농부들 보라숲 관광농원',충북 음성군 가볼 만한 곳 '젊은농부들 보라숲 관광농원' 최근 들어 도시보다 농촌에서 가치와 미래를 향한 길을 찾는 청년들이 늘어나고 있습니다. 충북 음성군 감곡면에도 이러한 젊은 청년들이 터전을 잡은 곳이 있다고 하여 감곡버스터미널에서 20분 정도를 달려 다녀왔습니다. 제가 다녀온...,2020. 5. 26.
충북 음성군 여행. 백야자연휴양림 오토캠핑장. 우중캠핑에 새텐트 신고식(ft....,여행을 하면서 지네를 자주 보게되는데 좋은 기운 팍팍! 캠핑장 앞에 개울가의 모습 정비되지 않은 모습과 출입불가가 아쉽네요 하지만 물소리 ASMR은 확실해요! 콸콸콸!!! 우중캠핑을 걱정하셔서 오지 않으실려나요? B6번 사이트 모습 비가 온다고 해도 떠난 가족의 모습 여기가...,2021. 8. 4.
충북 여행지 음성군품바재생예술체험촌 주말 나들이 가볼까,다채롭게 여행을 즐길 수 있을 것 같았다. 특히 매년 충북음성에서는 품바축제가 열렸는데 올해는 10월 21부터 24일간 음성군 음성읍 설성공원에서 개최한다고 하니 이 시기에 연계해서 방문해도 좋을 것 같다. 물론 온라인채널에서도 품바축제를 볼 수 있다고 해서 스케쥴러에 살짝 저장해 놓았다....,2021. 5. 31.
충북 음성군품바재생예술체험촌 아이와 가볼만한곳으로 좋아요.,"'아이와 가볼만한곳' 이번에 제가 선택한 여행지는 충북 음성 음성군 품바 재생 예술 체험촌이에요. 음성군품바재생예술체험촌은 음성군의 대표축제인 품바 축제의 사랑과 나눔 정신을 바탕으로, 쓸모 없다고 버려진 것에도 새로운 가치를 부여하고 예술로 승화시키는 창작공간이며 사랑과...",2021. 5. 28.
예술문화가 깃든 충북 음성 여행코스 [음성군 블로그 공모전],#음성군블로그공모전 #음성군 재작년 이맘때쯤 충북 음성여행을 다녀왔어요! 최근에 그 여행후기를 올렸었는데 지역명에 대해 처음 들어본다는 분도 계시고 가보고 싶다는 분들도 많이 계시더라고요! 충청북도에 위치한 음성군은 9개의 면과 읍으로 이루어진 '문화'와 '자연'의 도시인데요. 이전...,2021. 6. 28.
음성군품바재생예술체험촌 충북 아이와 가볼만한곳 추천해요,충북 아이와 가볼만한곳 추천 뜻깊은 여행 음성군품바재생예술체험촌 어떠세요? 날씨가 너무 좋아져서 주말에 가족과 함께 충북을 지나 경상북도까지 여행을 다녀왔어요. 도시를 떠나 숲이 우거진 곳에서 자연을 만끽하면서 다음에는 충북 쪽으로 가볼까 하는 생각이 들어 찾아보다가 여기다 싶어...,2021. 5. 31.
[음성군 블로그 공모전] 충북 가볼만한 곳 / 음성 당일치기 여행 / 자연 속 언택트 여행지...,양성이 제일 많이 나오는데 음성은 충청북도 음성군 입니다!! 나무위키에 따르면.... 이렇다고 하네요~ 눈많이 오는 도시 약간 인정!! 오늘 제가 충북 가볼만한 곳/ 국내여행지/ 음성 당일치기 여행지로 언택트 여행 겸 자연 속에서 힐링할 수 있는 곳을 소개해드리려고 합니다~~ 01. 용산저수지...,2021. 6. 13.
[음성군블로그공모전] 충북혁신도시 근처 걷기 좋은 힐링산책길 맹동저수지 + 함박식당...,"음성여행, 음성군가볼만한곳충북혁신도시 근처 걷기 좋은 맹동저수지와 함박식당 (시계방향) 마을 전경, 산딸기 꽃, 뱀딸기 열매 등 걷기 좋은 통동리, 맹동저수지코로나19로 사람 만나는 것도 부담스러운 요즘, 편안하게 바람을 쐬며 걷기 좋은 길을 찾게 된다. 하늘이 새파란 6월, 한가로이...",2021. 6. 23.
충북 음성군에서 세종 퀵서비스 조수석짐 배송,자세한 비용 상담은 전화 주시면 더 상세하게 알려드릴 수 있죠!ㅎㅎ <음성군 관광 홈펭이지 사진 참조> 충청북도 음성군에서 당일치기로 여행할... 상담전화 1644-8823 감사합니다. #충북음성군에서세종 #충북음성군에서세종퀵서비스 #세종퀵서비스 #음성군퀵서비스 #음성퀵서비스 #세종시퀵서비스,2020. 8. 31.
충북 음성군 공장용 토지매매 창고용토지매매,"충북 토지매매 충북 음성군 공장 창고 토지매매 계획관리지(임야) © maartendeckers, 출처 Unsplash 충북 토지매매 음성 공장 창고 토지매매 진천... 값비싼 선물이나 호화로운 해외여행,최고급 호텔 레스토랑의 식사가 좋은 관계를 만든다고 생각한다. ..... 뜻밖의 작은 친절은 예상 밖의 큰 효과를...",2021. 5. 3.
충북 음성군 #금왕맛집 생극해장국,배고픔에 정신 없이 한 그릇 뚝딱 해치 웠습니다. 그 동안 먹어 보았던 해장국과는 조금 다른 단백하고 얼큰한 맛을 내었습니다. 오랜만에 여행하는 마음으로 지방에 와 먹어 본 음식이라 그런가 더욱 맛났습니다. 나름대로 음성군 #금왕해장국맛집 이었습니다.,2021. 4. 14.
충북 음성군 지도 받아가세요,그려놨다가 여행지도로 사용해도 괜찮을듯합니다 충북 음성군 지도 가 필요하신분은 아래에 있는 첨부파일을 다운받아주세요 비밀번호는 없습니다 첨부파일 음성군 지도.zip 파일 다운로드 혹시 다른 지역의 지도가 필요하신분들은 제꺼 블로그를 찾아보시면 찾을수 있습니다 아직 많은 지도를...,2021. 3. 11.
충북 부동산 충북 혁신도시 음성군 전원주택 단독주택 음성군 부동산 음성 혁신도시...,773 (말소기준이후자 소멸예상) 안녕하세요 ^^ 오늘 매물은 충북 음성군 혁신도시 근거리에 위치한 전원주택 매물입니다 본물건지 근거리에... 사업번창을 기원 합니다 혹시 시간 되실때 저희 카페 방문하시여 회원 가입 부탁 드립니다 여행.맛집.사업홍보 부동산매물 회원님들과 같이...,2021. 4. 7.
[기자단] 음성군 맹동면 충북혁신도시 산책하기 좋은 거리,음성군 맹동면 충북혁신도시 산책하기 좋은 거리 충청북도 음성군 맹동면과 진천군 덕산읍 일원에는 이전 공공기관을 수용하여 산.학.연.관 등 기관이 서로 협력하는 수준 높은 정주환경을 갖춘 미래형 도시를 목적으로 만들어진 '충북혁신도시' 가 자리하고 있습니다. 이곳은 여러 공공기관이...,2020. 5. 19.
"충북 음성군 가볼만한곳 추천, 일러스트로 표현[음성군블로그공모전]","충북 음성군에는 충북혁신도시도 위치해서 제법 대도시(?)느낌의 도시적인 풍경도 있지만 그래도 자연과 어우러지고 바쁜 일상 속에 힐링이 되고 경건함을 주는 여행에는 위 추천 세곳이 제격일듯 하다. 직접 방문해보고 그려본 충북 음성군의 가볼만한 곳 감곡 매괴성당, 응천십리벚꽃길...",2021. 6. 29.
충북 음성군 읍내 핫플레이스 분식집 《빨간분식》,충북 음성군은 블로거에게 블루오션과도 같습니다. 네이버지도나 구글지도에 등록되지 않은 많은 상점들과 한적함을 느낄 수 있는 장소지요. 제가 새로이 발견하고 네이버지도에 등록한 빨간분식에 대해서 후기를 남겨볼까 합니다~ #음성군여행 #빨간분식 빨간분식 음성군청 근처를...,2020. 2. 4.
"음성 가볼만한곳, 아이와의 가족여행 '음성군 품바재생예술체험촌'","충북 음성군은 알면 알수록 즐길거리, 볼거리가 알찬 여행지다. ■ 음성군품바재생예술체험촌 주소 충북 음성군 원남면 원중로399번길 30 전화번호 043-873-0399 운영시간 -체험촌 화~일 9:00~18:00 (시간 변경될 수 있음) -카페 화~일 10:00~18:00 (시간 변경될 수 있음) -체험관 화~일 11:00~18:00 *체험관 휴관...",2021. 5. 28.
"충북 음성군 감곡면 왕장리 '감곡 매괴 성모 순례지 성당', '매괴 박물관'",충북 음성군 감곡면 왕장리에 '감곡 매괴 성모 순례지 성당'이 있다고 합니다. 그곳에 '매괴 박물관'도 같이 있다고 합니다. 찾아갑니다. 이정표가... '1934' '가밀로 영성의 집' 안으로 들어오니 유럽권으로 여행 온 느낌입니다. 성당 옆으로 축소 모형의 작품이 있습니다. 잘 보고 갑니다.,2021. 7. 10.
"[음성여행] 백야자연휴양림 : 내돈내산, A-08 사이트 a구역, 오토캠핑장 차박, 충북 음성...",백야자연휴양림 백야자연휴양림 오토캠핑장 충북 음성군 여행 내돈내산 차박 충북 차박 우중캠핑 트레일블레이저 차박 여자 솔캠 차박 금요일 반차를 쓰고 떠나려했으나 못 떠날뻔 내가 반차인걸 전사가 아는지 여기저기서 아침부터 연락오고 일주고 간신히 해치웠는데 12시에 떠나려했는데...,2021. 10. 9.
충북 음성군 나들이,충북 음성군 나들이 했네요.... 원남 테마공원 캠핑장. 지역여행의 시작 휴일엔 음성 맛집 이네요 실내에 전시되어 있는 탈 캠핑장 캠핑장 부근 아주아주 좋아요....,2021. 4. 4.
[음성군블로그공모전] 행복충전 음성여행코스 / 볼·먹·즐길거리,음성 여행 코스 충북 음성군을 한 바퀴 돌며 아름다운 풍경과 맛집 그리고 체험거리 가득한 음성군의 당일치기 여행!! 알짜배기 코스를 소개합니다!! 1. 감곡 매괴성모순례지성당 & 매산마을 벽화 오랜 역사와 추억이 기록되어 아름다움을 간직한 곳 주소 : 충북 음성군 감곡면 성당길 10 ☎ 전화...,2021. 6. 26.
[음성군 블로그 공모전] 휴식과 여유가 넘치는 음성 힐링 여행,"바로 충청북도에 위치한 '음성군' 여행입니다. 음성군 설성공원 음성군은 우리나라의 중심부에 자리하여, 전국 어디서나 부담 없이 오고 갈 수 있는... 특히 충북유형문화재 제 129호인 음성 읍내리 삼층 석탑과 제 9호인 오층 모전 석탑은, 귀중한 문화유산인데도 가까이서 만나볼 수 있어 상당히...",2021. 6. 25.
[음성군블로그공모전수상작] 행복충전 음성여행코스,https://blog.naver.com/jeon_hyeji/222410662966 음성 여행 코스 충북 음성군을 한 바퀴 돌며 아름다운 풍경과 맛집 그리고 체험거리 가득한 음성군의 당일치기 여행!! 알짜배기 코스를 소개합니다!! 1. 감곡 매괴성모순례지성당 & 매산마을 벽화오랜 역사와 추억이 기록되어 아름다움을 간직한 곳 주소...,2021. 8. 31.
[음성군 블로그 공모전] 음성 여행 가볼만한 곳 BEST 7,"'음 성' 충북에 있는 음성은 처음 방문한 도시였지만, 기대보다 훨씬 좋았던 곳이었어요! 오늘은 그 좋았던 음성에서 가보면 좋을 BEST 여행 코스를 정리해 보려고 합니다 :) @google maps 충청북도 음성군 충청북도에 있는 음성은 경기도와 매우 가까운 도시입니다! 동쪽으론 충주시, 서쪽으론 진천군...",2021. 6. 27.
충청북도 음성 가볼만한곳 추천! 감곡매괴성모성당 당일치기 여행 [음성군블로그공모전],"글에서는 음성군에 위치해 있는 감곡성당, 감곡매괴성모성당에 대해 이야기 하려고 해요 :) 사실, 처음에는 충북이라는 단어 때문에 또... 첫 충북 여행지였네요 :D 그나저나 일기예보가 흐림이었기 때문에 걱정이 많았는데 아니나 다를까 가는 길에 비가 오다가 말다가를 반복하더라구요 ㅠ...",2021. 6. 28.
"[충청미디어] 음성군, 여행업체 특별사업비 업체당 100만원씩 지원",음성군은 코로나19로 어려움을 겪고 있는 여행업체에 특별사업비를 지원키로 했다. 6일 군에 따르면 지원 대상은 2021년 3월31일 기준 등록된 음성지역내 여행업체(여행업 중복 등록 된 경우 1회 지원)로 △충북 관광상품 개발 판매...,2021. 8. 6.
[기자단] 군민과 함께 행복한 음성군_음성군청의 따뜻한 맘이 보이다,"음성여행으로 찾아드는 관광객이나 여행객들이 가장 먼저 바라보게 되는 음성군의 얼굴, 음성군청입니다. 군민을 먼저 생각하는 따뜻한 음성군.... 건강하고 희망찬 음성군의 다양한 이야기를 담아보러 음성군에 빠져보렵니다. ▣ 음성군청 충북 음성군 음성읍 중앙로 173",2021. 9. 23.
충북 음성군 자연휴양림 백야자연휴양림,충북 음성군 자연휴양림 백야자연휴양림 충북 음성군 금왕읍에 있는 백야 자연휴양림에 왔어요^^ 월요일날 백신 예방접종하고 이틀동안 푹쉬고 여행 왔습니다. 화이자 접종하고 하루에 세번 타이레놀 먹었더니 괜찮더라구요~ㅎ 접종 하시고 여러가지 증세가 나타나기 전에 약을 복용하는게 좋을것...,2021. 8. 4.
[음성군 블로그 공모전] 음성군의 관광명소와 문화유산으로 이루어진 최고의 여행코스,▲ 음성군 관광지도와 안내책자 ※ 음성여행 TIP 음성군 관광지도와 안내책자는 음성군 문화관광으로 들어가셔서 관광책자 신청을 하시면 됩니다. 01 감곡성당(매괴박물관) 충북의 천주교 발상지 아침 일찍부터 서둘러 음성으로 출발해 가장 먼저 찾아간 곳은 매괴박물관이 있는...,2021. 6. 27.
충청북도 음성군 봉학골 홀로 당일치기 여행 (feat.봉학랜드),시작해 위험하다고 판단해 결국 정상을 못 찍고 하산했다 위험하지 뭔 일이 벌어질지 모르는데 예쁘다 추억이다 ♥ 청설모 선생님도 만났다 #충북 #충북음성 #음성군 #음성봉학골 #용산리 #봉학골 #봉학골산림욕장 #봉학랜드 #가족여행 #당일치기 #커플여행 #당일여행 #홀로여행 #충북여행 #음성여행,2021. 4. 3.
[음성군 블로그 공모전] 음성군 강아지와 함께 할 수 있는 당일치기 여행코스_(with...,"음성군내 식당, 마트, 주유소 등등 음성페이를 통해 결제하게 되면 사용금액의 10%가 인센티브로 지급된답니당! (충북혁신도시 내 진천도 가능해요.)... #음성군블로그공모전 #음성군 #어서와음성은처음이지 #음성군당일치기여행코스 #음성군반려견산책 #음성군반려견당일치기여행 #음성군반려견동반...",2021. 6. 7.
"대전 동구 청국장, 충북 음성군 핸드드립커피 맛집","'대전 동구 청국장, 충북 음성군 핸드드립커피 맛집' 뉴스를 알아봅니다. '생방송 오늘저녁' 오늘 방송 맛집 위치는? 청국장, 핸드드립커피 맛집... 사진=업체 제공 ▶대전 동구에 위치한 '진수성찬' '신박한 네바퀴 여행 방송정보' 코너에서는 핸드드립 커피 맛집을 소개한다. 사진=업체 제공...",2021. 8. 10.
충북 음성군 가볼만한 곳 [백야자연휴양림 백야수목원],안녕하세요 오늘은 충북 가볼만한 곳으로 음성군에 위치한 백야 수목원을 소개해 드릴려고 합니다. 백야리 자연 휴양림 안에 있는 백야 수목원은 정말 가볍게 산책하면서 힐링하기에 좋은 곳입니다. 요즘 코로나로 인해 사람들 많이 있는곳은 꺼려지는게 사실이잖아요? 그래서 사람들이 많지...,2020. 10. 2.
