header,contents,date
충북 제천시여행 제천시관광명소 제천시가볼만한곳 청풍 호반 케이블카 물태리역,충북 제천시여행 제천시관광명소 제천시가볼만한곳 청풍 호반 케이블카 물태리역 충북 제천시 청풍면 물태리에 자리하고 있는 청풍 호반 케이블카 물태리역입니다 그림같이 펼쳐진 청풍호의 풍광과 함께 비봉산을 함께한눈에 조망할수 있는 청풍호반케이블카는 청풍면 물태리에서 출발하여...,2020. 1. 24.
충북 제천시 의림지 산책 용추폭포 조망,"국가명승 제20호 충북 제천시 모산동에 위치한 #의림지 #산책 추억을 남기고 시작한다. 이 호수는 제천의 명승지로, 김제의 벽골제와 함께... 건축양식 충북 제천 발길따라 여행 중 노송과 어우러진 아름다운 풍경을 즐기면서 의림지 둑길 산책을 마무리한다. *^ ^* 발길따라 *^ ^* 유튜브 ▼ https...",2021. 9. 6.
충북제천시 가족여행 이틀째 청풍호 모노레일타고왔네요,충북제천시 가족여행 이틀째 청풍호 모노레일타고왔네요 오늘도 역시나 비가 옵니다 청풍호 모노레일 입구 매표소에요 처음 타보는거라 긴장좀 했습니다 개인은 각 12000원씩 단체로가면 10000원 장애가 있으신분이나 나라에 공을 세우신 분들은 반값할인을 해주고 있군요 시승전 4분간격으로...,2021. 10. 8.
충북 제천시 옥전자연휴양림 (2021.8.28),"충북 제천시 옥전자연휴양림 ▶ 위 치 : 충북 제천시 봉양읍 옥전길 195 ▶ 숙소이름 : (숲속의집) 옥전6호실(복층) / 4인실/ 주말 60,000원 ▶ 2021년... ▶ 홈페이지 : 숲나들e 사이트에서 인터넷 예약 https://www.foresttrip.go.kr/main.do ※ 옥전자연휴양림 갈때는 제천여행으로 청풍호반케이블카, 의림지...",2021. 8. 30.
충북 제천시 의림지&역사 박물관 여행 코스로 좋아요.,충북 제천시 의림지&역사 박물관 여행 코스로 좋아요. 공원에 무료로 주차 가능 합니다. 화장실도 깨끗하고 좋아요.^^ 의림지 역사 박물관 앞잔디 공간은 수리공원&누워라공원 입니다.^^ 누워라공원에는 해먹이 설치 되어 있더라구요.^^ 저희는 비가 와서 누워보질 못 했네요.ㅋ 역사 박물관도...,2020. 9. 5.
가을맞이 부모님과 함께 떠나는 힐링여행지 [충북 제천시 의림지] ①,"4가지 종류의 한정식 메뉴가 있으며, 특히 당귀와 황기로 만든 약초묵회와 당귀전 등 약초락을 제대로 즐길 수 있는 반찬들이 다양하다고 합니다 코로나때문에 답답하시는 부모님을 모시고 다녀오기 딱 좋은 충북 체천! 이번 가을은 [충청북도 제천시]로 떠나 보시는 건 어떨까요~? 힐링여행지...",2021. 8. 30.
"[충북 제천시] 산책하기 좋은 의림지, 유리전망대 용추폭포","의림지, 용추폭포 유리전망대 충북 제천시 모산동 241 매일 00:00 - 24:00 입장료 무료 추석연휴로 인해 휴무가 길어져서 찐우랑 같이 1박2일 여행 다녀와찌요! 다녀오자마자 블로그 쓰는중인데 넘나리 피곤데스네~ 인스타에서 엄청 많이 봤었고, 엄청 가보고싶운 곳 중에 하나가 의림지에 있는...",2021. 9. 17.
"충북 제천시 가볼만한 곳, 제천여행에서 빼놓을수 없는 제천 핫플레이스~~!! 의림지에 가다.",ㅋㅋㅋ 인공폭포 구경도 하고 이제 서울로 출발할 시간. 조금 더 머물고 싶었지만 차가 막히기 전에 얼른 서울로 가야한다.... 날씨는 계속 꾸리꾸리하다ㅠㅠ 다음 방문을 기약하며...... 다음엔 제대로 한번 돌아보자~~!! 의림지 TEL : 043-651-7101 충북 제천시 모산동 241,2021. 5. 25.
감악산 백련사 (충북 제천시 봉양읍 명암리 감악산),"여행날짜 2020년7월30일 충북제전시 감악산 자락에 자리한 백련사! 감악산 정상까지 1키로 미터 정도여서 100대명산인 감악산 정상에 오르기 위해... 우서 백련사는 충북 제천시 명암리에 위치하고 있습니다. 백련사까지 올라는 중에 옆으로는 명암계곡이 함께하며,비온뒤라 수량이 무척 풍부했습니다....",2020. 8. 2.
"충북 제천시 관광택시 운행 ... 제천시... 택시여행, 택시투어, 택시관광, 제천시티투어...",제천관광택시로 여행하기 좋은 청풍호 좋은 추억이 될만한 관광지들이 한곳에 많이 모여 있어요^^ https://blog.naver.com/choi603203/221482296991 금월봉 무암사 청풍랜드 청풍랜드조각공원 청풍호유람선 청풍호케이블카 청풍호모노레일 청풍문화재단지... 충북 제천시 관광택시 이용시 ... 청풍호...,2020. 5. 12.
