header,contents,date
2021 #지역역량강화사업 충북증평군 강의여행 ! #노인건강관리 #치매예방강사김경지,느긋한 마응 으로 가을맞이 강의여행이 되었답니다^^ 충북 증평군 주민 생활건강관리 ! #치매예방 하고 #관절튼튼운동 드디어 증평군에 도착했어요~ 동네에 들어서니 마을회관에 어르신들이 모이셨네요 ㅎ 마을의 환경정비와 숙원사업 해결 지역주민의 건강한 생활건강 증진이 지역역량강화...,2021. 8. 22.
(충북 증평 여행)증평군 블랙스톤 벨포레 익스트림 루지!!,충북 증평군에 위치한 블랙스톤 벨포레 리조트에 익스트림 루지를 탈수 있는 곳이 있다고해서 다녀왔어요~ 저는 여기어때 어플을 통해 특가로... #블랙스톤벨포레 #증평여행 #루지탈만한곳 #익스트림루지 #충북핫플레이스 #충북여행지 #아이와가볼만한여행지 #아이놀이동산 #놀이동산여행지...,2021. 5. 29.
충북 증평군 율리 가볼만한 곳 1편 - 별천지 공원,"별천지 공원 증평군 율리 탐방 1편 / 증평군 SNS 기자단 박상훈 증평의 관광지하면 좌구산, 에듀팜, 보강천이 떠오릅니다. 좌구산 휴양랜드에는... 가족끼리와서 사진찍기도 좋고 코로나로 인해 언텍트가 중시되는 요즘 산책하기 좋을것도 같습니다. 그럼 율리 여행 2부에서 뵙겠습니다.",2020. 9. 3.
"충북 증평군, 좌구산 자연휴양림 2021년 추천 웰니스 관광지 선정","충북 증평군 좌구산 자연휴양림이 문화체육관광부와 한국관광공사가 선정한 '2021년 추천 웰니스 관광지'에 선정됐다. 웰니스관광은 웰니스(웰빙... 발돋움할 수 있도록 노력하겠다""며 ""안심하고 여행하실 수 있도록 관광지 방역에도 더욱 힘쓰겠다""고 말했다. 한국사회복지상담소 / 박혜란 소장",2021. 4. 29.
충북 증평군 완벽 방역소독 코로나19 실시간 상황판,"충북 증평군 완벽 방역소독 코로나19 실시간 상황판 안녕하세요. 방역소독, 바퀴벌레 퇴치, 해충 방역 악취 제거 서비스를 전문적으로 하는... 다가오는 광복절 연휴 기간에는 집에서 머무르기 대국민 캠페인을 열 예정이라고 하니 이동과 여행 되신 집에서 머무르며 휴식을 취해주시길...",2021. 8. 11.
충북여행 충북 증평군 블랙스톤벨포레 #3,#충북여행 이와카페 자전거공원 블랙스톤벨포레 #충북놀거리 #증평여행 #애기양 충북 증평 복합레저단지 블랙스톤 벨포레 업장별 휴무일 홈페이지 참고 콘도예약가능 주차공간넓음 블랙스톤벨포레는 거대한 주차장을지나 시간별로 오는 버스를 타고 투어를 할 수 있음 위에 사진은 투어버스를 탄...,2021. 5. 28.
송원칼국수 : 충북 증평군에서 유명한 맛집,"상당히 넓은 내부로 건물주 같은 포스 월요일 휴무 2020년 11월 메뉴판 충청북도에 좌 천안, 우 충주 그 중간에 증평군이 있어요. 통영여행 갔다가 올라오는 길에 저녁 먹으러 들렸는데 이 거리에 새로 생기고 큼직한 식당들이 많이 몰려있네요. 처음에 칼국수 나온 비주얼 보고 너무 심플해서 멍미...",2020. 11. 23.
충북 증평군 카페 “미몽”,휴가다 아니 휴가였다 (대략 한 달 전쯤) 남자친구와 계획한 제주도여행이 남자친구와 함께 날라갔다 ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ... 본가에 가게된다면 또 들려야게쓰 #증평카페 #카페미몽 #청주카페 #충북카페 #드라이브카페 #프라이빗카페 #넓은카페 #논뷰 #논뷰카페 #테라스카페,2021. 9. 7.
충북 증평군 벨포레 리조트 갈 준비,"올라가는 길에 카페에서 잠시 힐링~ 고양이가 많은 고양이 카페까지는 아니지만, 예쁜 뱅갈(?) 고양이가 있단다. 딸아이가 너무 좋아하기 시작한 고양이, 고양이 카페 가자고 조르는데 여기 살짝 들러도 될 것 같다. 증평을 여행으로 가기는 처음. 증평이 다르게 보인다.",2020. 10. 14.
#국내여행 #전주여행 #증평군 #전세버스여행,"안녕하세요 찬누리입니다:-) 충북 증평 보강천변 미루나무 숲 예비군훈련장이 5년 공들인 끝에 주민 쉼터이자 문화·예술공간으로 탈바꿈한다고 합니다. 12일 증평군에 따르면 군은 올해 5억원을 들여 보강천 증평대교∼장미대교 500ｍ에 경관 조명, 데크 쉼터를 설치하고 수목을 심어 산책길을...",2021. 4. 22.
충북 증평군 좌구산 등산,"* 여행 일자 : 2020년 08월 16일 * 여행 참석 : 은옥,나(2명) * 여행 시간 : 08시 30분- 12시00분",2020. 8. 16.
충북 증평군 율리 가볼만한 곳 2편 - 분젓치 산새길 테마로드,분젓치 산새길 테마로드 증평군 SNS 기자단 박상훈 별천지 공원 탐방을 마치고 위로 오르면 푯말이 보입니다. (지난번 포스팅도 증평군청 블로그에서 봐주세요.) 분젓치 산새길 테마로드입니다. 지난달 완성된 완전 신삥 산책길이라는데 매우 기대됩니다. 산책길로써의 특징을 요약해드리자면 1....,2020. 9. 10.
충북여행 충북 증평군 이와카페 (cafe EWA) #1,"#충북여행 이와카페 증평자전거공원 블랙스톤벨포레 #충북카페 #증평카페 #몽블랑맛집 충북 증평 이와카페 (Cafe EWA) 매일 10:00 - 21:00 주차공간넓음 충북 자전거 공원에 놀러가기 전 점심먹고 들렀었던 이와카페, 날씨가 엄청 화창했던 날로 기억함 여기는 카페 들어오는 길목인데 너무 구석져서...",2021. 5. 26.
"빛과 함께하는 야경, 밤에 걷 기 좋은 곳 #충북 #증평군 #보강천 #여행 #관광",무더운 여름을 날리기 위해 밤이 되면 많은 군민 들이 향하는 곳이 있는데요 바로 송산목교입니다. 송산목교는 몇해전 리모델링을 통해 화려한 조명을 설치해 많은 분들의 밤 산책길로 사랑받고 있습니다. 송산목교는 하이마트와 백로공원 바로 옆에 있는데요. 반대편 테니스 장까지...,2020. 6. 24.
충북 여행 청주 가볼만한곳 5 상당산성 수암골 등,"충북선, 급행버스로 충북여행 편리하게 오송역 KTX 승강장에서 1층 환승게이트로 이동하면 무궁화호 충북선을 이용할 수 있습니다. 충북선... 청주 도심이 보였다가, 이내 증평군이 발아래 펼쳐집니다. 청주가 이렇게 큰 줄 몰랐습니다. 알고 보니 인구 80만이 넘는 대도시였네요. 주변 일대가 훤히...",2021. 8. 24.
"충북여행 증평 가볼만한곳 힐링 코스 좌구산, 벨포레 목장, 루지",증평군 유튜브 영상 촬영 전통 카페 우리의 땅 사실 이번 충북 증평 여행의 목적은 증평군 유튜브 출연이었어요. 20대~40대로 구성된 여행 전문가 4인이 모여 증평 가볼만한곳 여행지를 함께 여행하고 그 감상을 함께 나누는 여행 토크쇼를 촬영했거든요. 알아두면 쓸모 있는 신비한 증평 여행! 드디어...,2021. 6. 7.
국내힐링여행 세종 충북 여행지 5곳,"또한, 짚라인 및 천연 수영장 등 액티비티도 즐겨볼 수 있으며 흙길을 따라 걸을 수 있는 둘레길도 있어 언택트 여행에도 적합한 곳이랍니다. 5. 충북 증평 에듀팜 블랙스톤 벨포레 - 주소 : 충북 증평군 도안면 벨포레길 400 마지막으로 소개할 세종 충북 가볼만한곳은 증평에 있는...",2021. 7. 21.
"안심여행 캠페인 방역 우수 관광지 중 강원, 경기, 충북, 충남 소재 여행지",대한민국 안심여행 캠페인 방역 우수 관광지 178선은 전국 17개 광역지자체에서 추천한 방역 우수관광지이다. 이번에 소개할 여행지 목록은... 자연휴양림(충북 증평군) - 증평 에듀팜-블랙스톤 벨포레리조트(충북 증평군) - 초정행궁(충북 청주시) - 충주 라바랜드(충북 충주시) 출처...,2021. 6. 22.
충북 유명 친환경 관광지 20선을 소개하는 '충북 착한여행 캠페인'/저탄소 친환경 여행,한국관광공사와 충청북도가 공동으로 저탄소여행이 가능한 20곳의 친환경 관광지를 선정하였다. 걷기활동을 통한 스탬프 챌린지와 기부... - 주소: 충북 증평군 증평읍 송산리 667 출처: 증평군청 ★ 증평 자전거공원 자전거를 주제로 한 이색테마공원이다. - 주소: 충북 증평군 증평읍...,2021. 8. 10.
충북가볼만한곳 증평카페 이와 감성굿,"하네요 충북 가볼만한곳 , 층평 카페 이와 한옥카페 충북 증평군 증평읍 중안지길 155 영업시간 매일 10:00~21:00 요즘 어디가나 쉽게 볼 수 있는 한옥... 힐링산책도 하고 가성비 좋은 맛있는 쌈밥도 먹고 분위기 좋은 증평 기와카페어서 커피타임까지 충북 가볼만한곳 충북여행코스로도 추천해요",2021. 9. 5.
"충북관광 BEST 11/충청북도 여행 명소 소개(자연 생태관광, 여행 가볼만한 곳)",충청북도 여행 명소 best 11을 뽑아 보았다. 충북 11개 시군별 명소 1곳으로 주로 자연 생태관광 명소들이다. ★ [증평군] 비나리길 - 주소: 충북 증평군 증평읍 율리휴양로 307 지게 짐 지고 다니던 분티마을 옛길에 조성된 좌구정산림공원의 비나리길은 증평 제일의 풍광을 마주하는 길이다. 숲의...,2021. 1. 23.
충북여행 삼기저수지 등잔길 걷기,비대면 언택트 여행지 충북 증평 삼기저수지 등잔길 걷기 충청북도 증평여행은 처음이다. 내비게이션에 주소를 찍고 도착한 주차장은 주차... 작은 돌탑에 어떤 소망이 깃들어있는지 눈을 감고 소원도 빌어보자! ♤ 삼기저수지 찾아가는 길 충북 증평군 증평읍 율리 680 https://tv.naver.com/v/19894950,2021. 4. 29.
