header,contents,date
충북관광 50선 스탬프투어 진천군 편 with 올댓스탬프,"진천 가볼 만한 곳 충북관광 50선 스탬프투어 진천군 편 with 올댓스탬프 혹시 ""올댓스탬프""라는 앱을 알고 계시나요? 저도 최근에서야 알게 된... 보니 충북관광 50선 스탬프투어는 준비된 선물이 모두 마감되었네요. 하지만 이 외에도 다양한 스탬프투어가 준비되어 있으니 여행을 계획하시는 분들은...",2021. 8. 30.
진천 / 농다리 / 충북 /여행 / 진천군여행 / 잠깐들리는 / 마실여행지 진천농다리,가시길 바라겠습니다^^ 우리는 볼일보고 들렸지만 잠시가서 사진도 찍고 다리도 건너고 재밌었습니다 이렇게 끝까지 광빵이의 10번째 포스팅을 봐 주셔서 감사합니다^^♂️♀️ 빠위 빠위 ❤ #진천 #진천군 #농다리 #진천농다리 #꽃놀이 #봄여행 #충북 #충주 #데일리 #주말나들이 #데이트 #데이트코스 #,2021. 3. 26.
[2년 전 오늘] 충북진천군 초평초등학교 총동문회 체육대회,"2년 전 오늘 충북진천군 초평초등학교 총동문회 체육대회 나어릴적 다녔던 학교 초펑초등학교 오늘 40년만에 참석해봅니다 부산으로 이사가서... 까락스 ,캠핑용품소개/맛집여행/글램핑텐트제작전문 여명808 잘아시죠 개발자 남종현회장님 이곳이 모교출신 고향 아저씨입니다 ㅋㅋㅋ",2021. 4. 14.
충북 진천군맛집 정원생삼겹살 미나리삼겹살,충북 진천군맛집 정원생삼겹살 미나리삼겹살 충북 진천여행 처음으로 갔을때 먹었던 진천군맛집 정원생삼겹살 맛도 있었지만 친절한 곳이었어요. 이 블로그를 만들고 거의 관리를 하지 못했는데 2021년에는 새롭게 다듬을려고 하는데 코로나19로 인해 현재 제약이 있어 여행을 안 가다보니 묵은지...,2021. 1. 17.
충북 진천군 덕산읍 기전리/이영남묘소/기전리임장,그중 우리가 인지하지 못하지만 위대한 분들이 생각보다 많이 존재한다는 생각에 안타까움반 다행스러움반이었어요 역사가 있기에 현재도 있지요 주변에 거주하시거나 여행오신 분들 꼭 들러 살펴보고 가셔도 좋을것 같습니다^^ 당신의 선택은 항상 옳습니다. #진천군덕산읍기전리 #충북진천군...,2021. 5. 24.
[新국토기행] <63> 충북 진천군 - 서울신문,[新국토기행] <63> 충북 진천군 입력 :2016-03-09(수) 17:54 천년의 세월을 건넌다…한반도 품고서 흐른다 충북의 중심에 있는 진천은 예부터 비옥한 토지에 풍수해가 없고 인심까지 후덕해 살기 좋은 고장으로 이름을 날렸다. ‘생거진천’(生居鎭川·살아서는 진천)이란 말이 있을 정도다. 그 명성이...,2020. 7. 11.
충북 진천군 덕산읍 신척저수지 연꽃,하는 마음에 둘러봤더니 해 잘드는 쪽은 벌써 핀곳도 있어요 코로나로 멀리 여행가는건 무리이지만 혁신도시에서 10분거리에 위치한 신척저수지 연꽃이 만발하면 다른 여행지 안부러울듯요~~ 학교에 못가는 어린아이들 데리고 바람쐬러 다녀오셔도 좋을듯요 주소: 충북 진천군 덕산읍 신척리 694-41,2020. 6. 25.
진천군▶초평저수지 초평낚시터 초평면붕어축제 진천수련원 충북카누경기장,자연이 가까운곳에 가족들과 여행 하는 것 참 좋은 것 같아요~ 아이가 있는지 아이들의 소리도 들리구요~^^ 둘레길 따라 계속 가다보면~~~ 진천농다리와 하늘공원 등등 진천의 또 다른 명소도 있구요~ 관광객이 많이 찾는 하늘공원도 있답니다~^^ 충북 진천군 초평면에 있는 초평저수지는 맛집들도 참...,2020. 8. 30.
[충북진천군픽업] 기장렌트카가족픽업/부산기사포함렌트카/부산렌트카픽업/렌트카보다...,착하고 좋은서비스로 모시겠습니다♥♥ 부산기장준투어 이형준 *** - **** - **** ❤ #부산기사포함렌트카 #부산렌트카픽업 #충북진천군픽업 #부산솔라티리무진픽업 #렌트카보다착한가격 #편안한씨트좋은차량 #기장여행사 #기장준투어 #일광렌트카 #기장렌트카 #부산여행사 #부산15인승렌트카...,2021. 8. 14.
충북 진천군의 교통정보를 알려드림!,"진천군을 편리하게 여행할 수 있는 시내·시외버스 교통편을 알려드리겠습니다. 시내버스 버스시간 안내 043-533-1501(진천여객) 시내버스 요금 구분 현금(원) 교통카드(원) 일반인 1,500 1,400 중·고생 1,200 1,100 초등학생 750 650 진천군 시내버스 시간표...",2021. 4. 6.
"충청북도 진천군여행. 진천 맛집. 미향! 갈치조림, 제육, 청국장... 반찬 손맛 짱!","#진천 #생거진천 충북 진천군 맛집 ; 미향 갈치조림 / 제육두루치기 / 청국장 먹을 곳을 찾아 이월면을 한바퀴 돌아봅니다. 설 당일이라... 되네요^^ 참, 이곳도 백반기행에서 섭외가 왔었는데 거절했다고 하시네요. 0 식당오기전, 설날맞이 여행 이야기는요! https://m.blog.naver.com/oblradi/222247575859 "" """,2021. 2. 20.
충북 진천군 문백면 은진로 79-3 도룡 마을회관앞 미호천,그리고 새로운 세상을 발견하게 된다. 오늘은 집사람이 물이 좋단다. 가까운 곳에 얼마든지 있다. 진천에 연결 된 미호천으로 방향을 잡았다. 새가 물속에 발자욱을 남겼다. 새롭다. #진천군 미호천 #문백면은진로미호천 #힐링장소 #진천군여행지,2021. 2. 1.
"국내 당일치기 여행, 국내 봄 여행지, 충북 진천 가볼만한 곳, 진천 봄나들이 추천명소...","어디서나 찾아오기 좋아 국내 당일치기 여행으로도 손색없답니다. 위치 : 충북 진천군 진천읍 문진로 1411-48 길상사 '길상사'의 더 자세한 이야기를 듣고 싶다면? ▼▼ '오디(Odii)'로 듣기 ▼▼ ※거리두기 상황에 따라 운영여부 및 시간이 변동될 수 있으니, 사전 확인 후 방문해주세요!...",2021. 4. 12.
충북 유명 친환경 관광지 20선을 소개하는 '충북 착한여행 캠페인'/저탄소 친환경 여행,한국관광공사와 충청북도가 공동으로 저탄소여행이 가능한 20곳의 친환경 관광지를 선정하였다. 걷기활동을 통한 스탬프 챌린지와 기부... - 주소: 충북 진천군 문백면 농다리로 1032-11 ★ 진천 만뢰산자연생태공원 각종 식물들이 가득한 생태공원이다. - 주소: 충북 진천군 진천읍 김유신길...,2021. 8. 10.
진천군 백곡면 백곡저수지 카누여행 2020.8.23,충북 진천군 백곡저수지 / 진천백곡카누여행 국내최대 저수지 댐이라고 예전 전두환씨가 준공식에 왔었다고 하나요. 백곡저수지는 진천군 백곡면에 위치했습니다. 중부고속도로 진천나들목과 안성쪽과 천안쪽에서는 34번 국도로 이동 가능합니다. 주변에 백곡 종박물관과 참나무숯 찜질방이...,2020. 8. 24.
"충북관광 BEST 11/충청북도 여행 명소 소개(자연 생태관광, 여행 가볼만한 곳)",충청북도 여행 명소 best 11을 뽑아 보았다. 충북 11개 시군별 명소 1곳으로 주로 자연 생태관광 명소들이다. ★ [증평군] 비나리길 - 주소: 충북... 출처: 충북나드리 ★ [진천군] 농다리와 초평호 초롱길&하늘다리 - 주소: 충북 진천군 문백면 구곡리 601-32)농다리) 진천 농다리는 고려 말에 축조되어...,2021. 1. 23.
진천 문학여행 충북 진천 문학관,진천 가볼 만한 곳 진천 문학여행 충북 진천 문학관 안녕하세요. 진천군 SNS 서포터즈입니다. 현재는 폐교가 된 백곡중학교를 리모델링하여 재탄생한 장소가 있다고 해서 충북 진천 문학관을 방문했습니다. 아이들이 줄어들면서 초등학교가 점점 사라지는 풍경은 가슴 아팠지만 새로운 리모델링을...,2021. 7. 26.
"충북 진천 농다리 계곡, 충청도여행 ~","충북 진천 농다리 계곡, 충청도여행 ~ 충북 진천군 초평면 화산리 주차료, 입장료 없음 진천 농다리는 문백면 구곡리 굴티마을 앞을 흐르는 세금천에 놓인 농다리입니다. 원래 100m 넘는 길이었으나 지금은 93.6m, 폭 80cm입니다. 28칸의 교각은 양쪽 2칸이 줄어 24칸으로 충청북도 유형문화재...",2021. 6. 15.
충북 여행 가볼만한곳 : 진천 만뢰산 자연생태공원 연꽃 데이트 코스,라는 의구심 들게 합니다 텅텅 빈 주차장 데이트 가볼만한곳 찾을때 우리들만의 오붓한 시간 보낼수있는 한적함 그 어떤 여행지보다 중요하게 작용 하는데요 보시다시피 주차장 텅텅 비어있어 우릴 방해할 그 누구도 없습니다 진천 만뢰산 자연생태공원 주차장 주소 : 충북 진천군 진천읍 김유신길...,2021. 6. 26.
더빌리지캠핑장 후기 l 충북 진천에 있는 압도적 편의시설 갖춘 캠핑 스팟_지금은바로!...,"이번에도 캠핑에 진심이 친한 형님을 따라 다녀왔는데, 캠핑장이 압도적으로 기가막혀서 오늘 이 캠핑장을 소개해 드리려고 합니다_ #더빌리지캠핑장 #더빌리지캠핑 : 충북 진천군 문백면 중복2길 20-78 : 기준 인원 : 2명 (최대 4명까지) : 예약은 공식홈페이지에서 (*카톡으로만 상담) : 입실 - 14시...",2021. 9. 30.
