header,contents,date
[충북 청주시] 전통주 : 세종대왕 어주,"생각해보니 그동안 여행다니면서 술도가를 많이 들렀는데, 막상 블로그에 올려놓은 곳이 없다. 먹을 것만 잔뜩 써놓고 ㅡㅡ;;; 그래서 앞으로는 술도 좀 올려볼까 한다. 뭐 그래봐야... 소개글은 링크걸고 그만이겠지만 ㅎㅎ 그 처음은, 오늘, 방금, 막 주문한 충북 청주시에 있는 장희도가에서...",2020. 2. 25.
[충북여행] 청주시 서문풍물야시장 & 서문시장삼겹살거리,[충북여행] 청주시 서문풍물야시장 & 서문시장삼겹살거리 서문풍물야시장 & 서문시장삼겹살거리 문의 및 안내 : 서문시장 043-221-6633 주소 : 충북 청주시 상당구 서문풍물야시장 & 서문시장삼겹살거리 소개 서문시장은 시장을 활성화시키기 위해 2012년에는 서문시장삼겹살거리를 2015년에는...,2020. 8. 25.
[충북:청주시] 삼미족발 (ft:옥천식 물수제비),#방물장수의팔도맛기행 #먹뱅이 #충청북도 #청주시 #우암동 #삼미족발 #미니족발 #수제비 #청주맛집 #청주향토음식 #이웃사촌 고향인 옥천 #풍미당... 미니 족발 미니족 한 접시가 25천 원이지만 미니 족발을 먹지 못하는 친구 때문에 혼자 먹을 거라 반 접시만 (13천 원) 주셨어요 고추장 충북 쪽은...,2020. 8. 11.
충북 청주시 모텔 할로윈모텔 시설좋은곳 추천,"카운터 쪽이 커서 주차를 기다리거나 체크인, 체크아웃을 할 때도 보다 편하게 쉴 수 있겠더라구요~ ㅎㅎ 그렇게 체크인을 하고 본격적으로 방에 올라가봤습니다 ^^ 충북 청주시 모텔 할로윈모텔은 곳곳이 할로윈 분위기로 꾸며져 이색적이더라구요 ㅎㅎ 여행 다니기를 좋아해서 이곳저곳 참 많이...",2020. 5. 12.
"충북 청주시 : 도심속의 무릉도원 정갈한 한정식 산하춘,山下春, 가족모임 추천",충북 청주시 ★ 산하춘/山下春 ★ ∏ Operation Everyday 11:30 - 22:00 연중무휴(신정포함 명절 휴무) Break Time : 14:30 - 16:30 ∏ Address : 충북 청주시 흥덕구 강내면 월탄1길 15-11 ∏ ☎ 043-237-5775 도심속의 무릉도원 절제된 멋과 정취 청주 #산하춘 에서 가족식사를 했어요 제가 예약한게 아니라 그냥...,2020. 2. 12.
충북 청주시 가파도 청보리 막걸리,작년 11월 제주도 여행 시 한라산 등반을 위해 가파도 섬 투어를 포기했었습니다. 가파도 섬 투어 팀은 가파도 선착장에서 배를 기다리면서 가파도... (주)(충북 청주시 청원구 사천로 18번길 5-2) 품목보고번호 : 20130020074128 제조일경과 : 90일 후 시음 구매장소 : 제주도 □ 막걸리 Review 탄 산...,2020. 8. 8.
충북 청주시,충북 청주시 대한민국 녹색수도 청주는 삼한시대때 마한의 땅이었다. 백제 시대에 이르러 상당현(낭비성 또는 낭자곡)이라 칭해졌다. 군사적... 드라마 촬영지로 떠나는 청주여행은 ‘얼쑤~’ 청주 가로수길을 지나 무심천을 건너면 해발 353m의 나즈막한 우암산 자락에 수암골이 있다. 2009년...,2020. 6. 17.
충북 청주시 실내테니스장예약 및 테니스레슨정보,청주실내 테니스코트 클레이 2면 대부분 20~30대 초보분들이 모여 레슨받고 게임하고 시합하는 명문테니스장입니다. 16년동안 청주시 테니스... 100% 예약제 레슨 진행 개인레스 바로가보기 테니스장 이모저모 코트전경 Previous image Next image 테니스장 이모저모 1박2일 테니스여행 / 3박4일...,2020. 8. 19.
청주시 여권발급 방법-해외여행의 시작,해외여행의 시작 청주시 여권발급 방법 해외여행 준비물 첫 번째 가장 중요한 여권! 청주시 여권발급 방법 이야기해 보겠습니다 청주시에서 여권 발급할 수 있는 장소가 두 곳 있습니다. 하나는 충북 도청 민원실이고 한 곳은 서원구청 입니다 서원구청은 청주의 중심부 쪽에 위치하고 있다고...,2020. 2. 26.
"충북 청주시 상당구 용암동 ""대박마트"" 로또복권 903회 1등 32억 따불당첨, 로또...","대박"" 충북 청주시 상당구 용암동 주공 상가점포내 ""대박 마트"" 1등 따불 당첨, 로또 903회 1등 당첨 지역 서울 3곳, 경기 4곳, 충북 청주 따불... 지역 여행 자제, 방문 기피, 불안 공포 등 포비아 현상 발생할 수 있다, 특히 코로나 감염 확진자 많이 나온 지역, 신천지 교인, 요양병원 등...",2020. 3. 22.
