header,contents,date
충북 충주시여행. 목계솔밭 캠핑장. 예약없이 언제든 떠나요! 무료야영장...,"우리집 마당에 노란꽃들이 바람에 살랑~ 노지캠핑이지만, 쓰레기 분리수거장을 충주시에서 관리해주시네요. 화장실도 나름 잘 관리되고요. 여자화장실은 아주 넉넉한 곳. 되려, 남자화장실 부족 ㅋㅋ 물웅덩이가 있으면 어때... 주변에도 텐트가 살포시, 매점에서 팥빙수 하나 사왔어요. 어제...",2021. 7. 4.
[충북] 충주시 시간이동카페 느티나무 카페,"어쨌든 충북 충주에 괜찮은 카페가 있다고 해서 넘어왔어요 느티나무 카페 043-851-0109 주소 충북 충주시 소태면 청룡사지 길 5 아메리카노 5,000원... 많이 책 읽고 많이 공부하고 그리고 많이 사랑하면서 살아 .."" #충북카페 #충주카페 #느티나무카페 #화덕피자 #충북느티나무카페 #충북여행 #시간여행",2021. 8. 25.
[여행] 충북 충주시 가볼만한 곳 한화리조트 수안보 아이와 함께 다녀왔어요,"여행, 여행지, 음성, 인천, 장흥, 재미있는, 전남, 전라남도, 전라도, 전시회, 주말나들이, 지도, 청주, 추천, 축제, 충북, 카페, 코엑스, 크리스마스, 12월, 1박2일, 가족, 강릉, 강원도, 겨울, 겨울에, 고성, 고양시, 공원, 관광지, 광주, 군산, 글램핑, 기차, 김포, 남해, 놀러갈, 놀이, 단양, 리조트, 마을...",2021. 1. 1.
충북 충주시 중앙탑면 장천리 차박성지 '목계 솔밭' - 차박여행,"충북 충주시 중앙탑면 장천리에 차박성지가 있습니다. '목계 솔밭'입니다. 갑니다. 차박하러... 도착하였습니다. 전날 늦게 도착하였으나 비를 홀딱 맞고 간신히 꼬리 텐트만 설치하고, 밤을 지새웠습니다. 다음날 아침이 밝아오니 비가 잠시 주춤하여 얼른 타프를 설치합니다. 이제 좀 안정을...",2021. 7. 7.
충북 충주시 여행 수주팔봉,"울 자리 옆 땅불..... 이럼 지구가 아파요 캠핑 기분낼 돈은 있고 16,000 원 하는 화로 살 돈은 없어요? 아.. 아침부터 화나네 #충북여행 #충주시여행 #수주팔봉 #작년에왔던곳 #작년왔던수주팔봉 #올해방문 #또오고싶은곳 #힐링 #차박 #차박여행 #나들이 #여행 #힐링캠 #차박캠 #수주팔봉여행 #땅불 #땅불노",2020. 5. 16.
충북 충주시,충북 충주시 목벌안길26 활옥동굴 가격 입장권/보트패키지 대인 6.000원/9000원 초중고 5.000원/7000원 소인4.000원/6000원 입자권+보트패키지... (오후5시까지 입장) #낚시 #취미 #BDJ #요리 #음식 #바다낚시 #바다낚시터 #실내낚시터 #실내바다낚시터 #선상낚시 #여행 #낚시하는동욱 #김동욱,2021. 4. 17.
충북콘텐츠코리아랩과 떠나는 다섯번째 랜선여행은 충주시로~!,"충북콘텐츠코리아랩과 떠나는 다섯 번째 여행지는 충북의 충주시입니다~! 충주는 중원문화의 중심지로써 한반도 중앙부에 위치하고 있는 지역인데요. 독특한 축제가 많기로 유명한 충주! 사과축제, 복숭아 축제, 고구마 축제, 유네스코가 공식 후원하고 있는 40개국에서 참여하여 볼거리가 가득한...",2021. 10. 7.
국내여행-충북 충주시 마애여래상,"충주시 홍보 블로그를 보고 간거였는데.. 너무 당황스러웠어요. 길이 후뚜루마뚜루 막놓여지고, 낡아서 도저히 여행길이라곤 생각이 안들더라고요. 심지어 저 흔들다리는 곧 끊어질듯 했어요. 반대편 건물도 폐가인지 오래되어 보이고.. 그래도 나름 색다른 경험이었어요. 생각보다 굉장히 짧은...",2020. 3. 12.
[송어회] 물레방아휴게소(충북 충주시),충주과 제천 등 충북 북부엔 월악산 국립공원이 자리잡고 있습니다. 수도권에서 접근성도 좋고 월악산이 주는 즐거운 등산의 묘미를 즐기는... 보세요~~ #월악산국립공원 #월악산 #충주시 #제천시 #송계 #송계계곡 #송어무침 #송어매운탕 #송어회 #철갑상어 #등산 #캠핑 #송어요리 #송어 #충주여행...,2020. 8. 3.
유품정리 집에서돌아가신분 빈집정리 고독사청소 가정폐기물 충북 충주시 다녀온 후기,"충북 충주시 교현동 남산아파트5층. 엘리베이터 없는 건물이다보니, 사다리차를 사용해야 하는경우라 , 장비비는 별도로 추가 된다는걸 알고... 여행도 즐기고,낚시도 즐기고, 나름 즐겁게 지내셨던것 같긴하지만, 혼자 돌아가셨다는게 안타깝게 느껴집니다. 작업자들도 냄새나는집에서 계속 작업을...",2020. 11. 23.
"충북 충주시 아빠네 시골에서 돈토마호크 구워먹고, 온 가족 다 같이 힐링 여행...","안녕하세요 영업사원 딩딩입니다^^ 부모님 고향이 충청북도라 가족들이랑 종종 충청도에 힐링 여행을 가곤 하는데요✨ 그 중 베스트 오브 베스트 힐링 스팟, 저희 집에서 '아빠 시골' 로 불리는 '아빠 땅' 에 다녀왔어요! * 이곳은 저희 아버지가 약 5년에 걸쳐서 직접 집도 지으시고 농사도...",2021. 6. 6.
광주전남장거리택시 광주➡️충북 충주시 운행,광주에서 충북 충주까지는 약 280~290km정도 3시간 안되게 소요되었습니다. 비오는 날이라 하늘이 꾸물꾸물 목적지 근처에 있는 충주소방서가 멋지네요 외국인 손님 목적지 숙소 체크인까지 도와드리고 광주전남장거리택시는 광주로 복귀합니다. 충청북도 충주시 까지 이용해주신 손님께...,2021. 6. 19.
박하사탕 촬영지 충북 충주시 삼탄역을 가다,충주시 산척면에 있는 삼탄역은 충북선의 간이역으로 무궁화호가 하루 하행 5회 상행 4회씩 정차하는 역입니다. 삼탄역 전경 간이역인 삼탄역에... 새마을호 승객차량을 보니 옛날에 새마을호 타고 여행다니던 추억이 떠오르네요. 요즘 열차는 너무 빨라서 바깥 구경하기엔 좋지 않죠. 느린 열차 타고...,2021. 9. 23.
땅 매매 맛집 가볼만한곳 충주호 주소 충북 충주시 소태면 야동리 350번지등 3필지,충주호로 유명한 충북 충주시 소태면 야동리 350번지 359번지 360-1번지 등 3필지 계획관리 대지와 전 도로접한 271평 평당30만원 총 8100만원 전원주택... 바닷가 여행 관광 낚시 섬토지 섬임야 섬농가주택 섬펜션 섬낚시용 컨테이너 설치용 토지 섬 소규모 소액 토지 섬 여행 관광 낚시 휴양지...,2020. 11. 16.
[사천대반점] 충북 충주시 연수동 중국집,바로~~~~~~~~~~~~ 충청북도 충주시 연수동에 위치한 사천대반점 입니다! SNS에 충주 맛집을 검색하니 나오더라고요!! 그래서 주저하지 않고 바로... 아 ~ ^0^ 하세요ㅋ.ㅋ 여자친구와 충주 여행을 하면서 중국음식이 먹고 싶어서 찾은 사천대반점! 그런데 짜장면이 뭔가 아쉬운 느낌? 이었고 탕수육은...,2021. 5. 16.
충북 충주시(수안보 온천),2020. 7.5.~7.6. 충북 충주시 수안보면 가족여행 분당 최가네 돈가스..안데르센 빵집 수안보 향나무집 그리고 부자바위??,2020. 7. 10.
"충주시 여행, 카약체험과 동굴탐험 있는 곳, ""활옥동굴""","충주시 동굴 탐험 여행. ""활옥동굴"" 전화번호 : 043-848-0503 주소 : 충북 충주시 목벌안길 26 영업시간 : 09:30 - 18:30 마지막입장 17:00 월요일 휴무(공휴일 경우 영업, 화요일 대체휴무) 안녕하세요1! 여행중독입니다!! 이번에 다녀 온 곳은 충주시의 명소인 ""활옥동굴""에 다녀 왔습니다!! 충주호변에 활옥과...",2021. 6. 10.
(충주시여행)악어섬 - 악어봉에서 바라본 충주호의 아름다운 지형!!,< 주소 > 충북 충주시 살미면 신당리 네비에 '충북 충주시 살미면 월악로 927'이라고 치면 '게으른 악어'라는 카페에 도착한다 그 맞은편에 악어봉으로 가는 등산로 입구가 있다 4년전에 우연히 이곳을 알게 된 필자가 등산을 하였는데 전 날 눈이 많이 왔고 등산장비가 없는 관계로 아쉽게 올라가지...,2020. 2. 9.
충청북도 충주시여행. 수주팔봉. 더 알려질까봐 겁나요. 하지만 이미 유명한 곳!,4.(일) 장 소 : 수주팔봉(충북 충주시 대소원면 문주리 844) 날 씨 : 약간 흐림! 봄날 샤방느낌~ #수주팔봉 문성자연휴양림을 거쳐서 이어진 길... 그것이 여행이겠죠?ㅋㅋㅋ #칼바위 첫인상은 상당히 날까롭지만 칼바위로 흐르는 물길이 신기하기만 합니다. 칼바위를 지나는 물길은 더 큰 강을...,2021. 5. 4.
여행간 김에 간단히 충주시 부동산 생각,오늘은 정말 여행입니다. 그러나 제 눈에 들어오는 게 많아서 간단히 생각한 내용 살펴봅니다. 국내여행지에서는 항상 보고 생각할게 많죠. 괴산... & 충주시의 인구수 세대수 변화는 양호한 수준입니다. 급격한 감소가 없습니다 인구수 세대수 충북 전체로 보더라도 크로스된 기간이 타지역에 비해...,2021. 7. 10.
수도권 2시간 충주시 오싹한 이색여행 활옥동굴 카약 체험까지,수도권 어디서든 부담없는 거리의 충북 충주시의 활옥동굴을 찾아보았습니다! 궁금하시죠? 자! 함께 떠나볼까요?! 내부 안내도 활옥동굴... 이렇게 마지막 탄금대까지 당일치기 여행을 마무리 해보았습니다. 어느곳보다 알차고 즐거운 여행이었네요. 여러분도 한여름 시원한 피서지를 원하신다면 꼭...,2021. 7. 26.
"[충주소식]충주시, 힐링여행 가이드 전문인력 양성 및 인턴십 과정 지원",충북 충주시는 '2021년도 중부내륙 힐링여행 가이드 아카데미' 운영을 통해 힐링여행가이드 양성 및 인턴십 과정을 지원한다고 14일 밝혔다. '중부내륙 힐링여행 가이드 아카데미'는 충주 대표 웰니스 전문기관인 깊은산 속 옹달샘과 협업해 교육생들의 상품 발굴 역량 강화와 운영 방향 습득을...,2021. 6. 14.
충주시 여행-관리는 잘 되어 있었지만 코스세팅과 그린이 아쉬웠던 '로얄포레cc',2020년 1월 진주에서 1박2일의 라운딩 이후 코로나로 인해 연락만 하고 모임을 자제하다 중간에서 만나기로 의견 조율 원래는 10월쯤 만나야 하지만 견우와 직녀처럼 애타게 보고싶은 마음으로 7월에 만나는 걸로 ^^ 상호 : 로얄포레cc 전화 : 043-841-9000 주소 : 충북 충주시 신니면 화치3길 35...,2020. 7. 23.
[성지순례]2020.1.19(일) 충북 수안보성당 → 충주시,"가정걱정, 자식걱정, 나라걱정 오만가지 잡념에 사로잡혀 걷다 보니 해는 떨어지고 충주시내로 들어선다. 현재의 수안보 인근인 연풍 지역에는 1801년의 신유박해(辛酉迫害) 이전에 이미 충주 지역으로부터 복음이 전파되면서 천주교 신앙 공동체가 형성되었다. 그리고 1842년 무렵에는 성 황석두...",2020. 1. 20.
"[충주시 충주호수로] 운치있는 충주호의... 함께 일상속의 여행을 떠나는 카페 <구옥, 날다>","남기는 커피와의 새로운 여행을 기록할지도 모른다는 생각을 하며 그리고 그 중의 또한 사람이 제가되어 함께 커피여행을 한다는 일상 속에서 벗어나 즐겁고 행복한 상상을 함께 나누고자 싶어 커피를 마시며 이렇게나 남겨봅니다. <구옥, 날다> 043) 848-5270 매일 10:00~21:00 충북 충주시 충주호수로 1016-10",2021. 5. 1.
역대 충북 충주시 국회의원 성씨오행,원인은 베트남 여행후 귀국한 40대 남성을 응급실에서 치료하던 중 사망 #김범준 3월 8일쯤 中확진자 늘지않아 사태 종료될 것... 그랬으면 얼마나... 각설하고~~ 역대 충북 충주시 국회의원 당선자 성씨오행 역대 충북 충주시 국회의원 당선자 성씨오행(13대~17대) 역대 충북 충주시 국회의원...,2020. 2. 17.
(충주시여행)수주팔봉 - 봉우리 보다 봉우리에서 바라본 마을 모습이 더 이쁜 곳!!,< 주소 > 충북 충주시 살미면 토계리 수주팔봉은 문주리 팔봉마을에서 달천 건너 동쪽의 산을 바라볼 때 정상에서 강기슭까지 달천 위에 여덟 개의 봉우리가 떠오른 것 같다 하여 붙여진 이름이다 이것은 팔봉마을에서 수주팔봉을 바라본 모습이다 맞은편으로 가면 이렇게 수주팔봉으로 올라갈 수...,2020. 2. 9.
(2021년 6월여행)2. 충북 충주여행. 충주 자연생태체험관 주변 볼거리와 먹거리(ft....,"쪼오옥....(아빠가 맛있다고 하니까 믿고 먹는 중) 뭐지...ㅜㅠ 회당 40명안에 들지 못해 체험관내 체험은 못했지만, 짧은 시간 산책으로도 기억에 오래 남을 것 같은 곳이었어요^^ https://cjecology.kr/main/index_true.php 0 충북 충주시여행 1. 목계솔밭 캠핑장 https://blog.naver.com/oblradi/222419822873...",2021. 7. 5.
충북여행 _ 청풍호반케이블카 타고 호수와 산의 절경을 한눈에,충주호의 멋진 풍경을 한눈에 담을 수 있는 청풍호반 케이블카 지난 겨울 2박 3일 캠핑 일정으로 다녀온 충북 여행 - 첫날은 캠핑장 도착해서... 충주호 는 충청북도 충주시·제천시·단양군에 걸쳐 있는 인공호수로 1985년 충주시 종민동·동량면 사이의 계곡을 막아서 만든 충주댐으로 인해...,2021. 8. 25.
충북 여행 코스 탄금대 산책하기도 좋은곳,충북 여행 코스중 한곳으로 그늘이 많아 산책삼아 걸어봅니다. 탄금대 043-848-2246 충북 충주시 칠금동 입장료- 무료 탄금대비 열두대 가는 길부터 벌써 소나무 사이로 남한강이 보입니다. 열두대 내려가는 계단앞에 탄금정은 코로나로 올라가지는 못합니다. #충북여행코스 #충주여행 #탄금대...,2021. 8. 15.
국내힐링여행 세종 충북 여행지 5곳,충주 중앙탑사적공원 - 주소 : 충북 충주시 중앙탑면 탑정안길 6 세종 충북 여행지 중 첫번째로 소개할 가볼만한곳은 충주 입니다. 남한강이 흐르는 길을 따라 산책을 할 수 있는 길이 조성되어 있는데요. 충주 중앙탑사적공원은 드라마 사랑의 불시착 촬영지로도 알려져있어 곳곳에 배우들이...,2021. 7. 21.
충북 유명 친환경 관광지 20선을 소개하는 '충북 착한여행 캠페인'/저탄소 친환경 여행,한국관광공사와 충청북도가 공동으로 저탄소여행이 가능한 20곳의 친환경 관광지를 선정하였다. 걷기활동을 통한 스탬프 챌린지와 기부... - 주소: 충북 충주시 앙성면 조천리 295-2 출처: 충주시청 ★ 충주 계명산 치유의 숲 침엽수 가득한 휴양림에서 충주호를 바라보며 마음의 안정을 찾을...,2021. 8. 10.
