제공기관명,축제명,개최장소,소재지도로명주소
충북_충주시,우륵문화제,충주공설운동장,충청북도 충주시 예성로 266
충북_충주시,충주호수축제,충주탄금호국제조정경기장,충청북도 충주시 중앙로 128
충북_충주시,충주세계무예축제,충주세계무술공원,충청북도 충주시 남한강로 26
충북_충주시,충주호벚꽃축제,충주댐관장,충청북도 충주시 충인1길 12
충북_충주시,세종대왕과 초정약수 축제,내수초정문화공원,충청북도 청주시 청원구 내수읍 초정약수로 851
충북_진천군,생거진천 문화축제,충북 진천군 진천읍 백곡천 둔치 일원,충청북도 진천군 진천읍 백사천길 17
충북_증평군,증평들노래축제,증평민속체험박물관,충청북도 증평군 증평읍 둔덕길 89
충북_증평군,증평인삼골축제,증평보강천체육공원,
충북_제천시,겨울왕국 제천페스티벌,시내 및 의림지 일원,충청북도 제천시 의림대로 242
충북_제천시,제천국제음악영화제,"시내일원, 의림지",충청북도 제천시 의림대로12길 14-1
충북_제천시,제천의병제,자양영당 등,충청북도 제천시 의림대로 125
충북_음성군,음성품바축제,설성공원,충청북도 음성군 음성읍 설성공원길 28
충북_음성군,설성문화제,설성공원,충청북도 음성군 음성읍 설성공원길 28
충북_음성군,음성명작페스티벌,금빛근린공원,
충북_음성군,음성들깨축제,금빛근린공원,
충북_옥천군,옥천군 평생학습 어울림 축제,옥천군 평생학습원 일원,충청북도 옥천군 옥천읍 관성로4길 10
충북_옥천군,옥천군민도서관 북페스티벌,옥천군 평생학습원 일원,충청북도 옥천군 옥천읍 관성로4길 10
충북_옥천군,청소년 축제,청소년수련관,충청북도 옥천군 옥천읍 동부로39
충북_옥천군,안터마을 반딧불이 축제,충청북도 옥천군 석탄리 안터마을,충청북도 옥천군 동이면 안터2길 4
충북_옥천군,제4회 옥천군민의 날 기념행사,옥천체육센터,충청북도 옥천군 옥천읍 동부로 39-1
충북_옥천군,옥천깻잎축제,군서초등학교 일원,충청북도 옥천군 군서면 성왕로 517
충북_옥천군,지용제,정지용생가 및 구읍일원,충청북도 옥천군 옥천읍 관성로 35
충북_옥천군,중봉충렬제,관성회관 및 안남면표충사,충청북도 옥천군 옥천읍 관성로 35
충북_영동군,2020 영동곶감축제,영동군 영동읍 영동천일원(하상주차장),
충북_보은군,보은 대추 온라인축제,온라인축제,
충북_단양군,제24회 단양온달문화축제,영춘면 온달관광지 및 단양읍 일원,충청북도 단양군 영춘면 온달로 23
충북_괴산군,청천환경문화축제,청천면 환경문화전시관 일대,충청북도 괴산군 청천면 괴산로 1248
충북_괴산군,연풍조령제 및 자전거문화축제,연풍면 연풍중학교 일원,충청북도 괴산군 연풍면 향교로 55
충북_괴산군,문광은행나무마을축제,문광면 양곡저수지 일대,충청북도 괴산군 문광면 괴산로양곡5길 113-2
충북_괴산군,감물감자축제,감물면사무소 일원,충청북도 괴산군 감물면 남양동길 38
충북_괴산군,괴산올갱이축제,칠성면 둔율마을 일원,충청북도 괴산군 칠성면 둔율길 142
충북_괴산군,청천환경문화축제,청천면 환경문화전시관 일원,충청북도 괴산군 청천면 괴산로 1248
충북_괴산군,연풍조령문화제,연풍문화센터 광장 일원,충청북도 괴산군 연풍면 향교로 55
충북_괴산군,양곡은행나무축제,문광면 양곡저수지 일대,충청북도 괴산군 문광면 괴산로양곡5길 113-2
충북_괴산군,감물감자축제,감물면 농촌중심지 활성화센터 광장 일원,충청북도 괴산군 감물면 남양동길 38
충북_괴산군,둔율올갱이축제,칠성면 둔율마을 일원,충청북도 괴산군 칠성면 둔율길 142
충북_옥천군,지용제,지용생가 등 구읍 일원,충청북도 옥천군 옥천읍 향수길 56
충북_청주시,청주문화재야행,청주 원도심 일대,충청북도 청주시 상당구 성안로 39-2
충북_음성군,음성품바축제,설성공원 일원,충청북도 음성군 음성읍 설성공원길 28
충북_보은군,2021 보은대추축제,보청천 일원,충청북도 보은군 보은읍 뱃들로 54
충북_괴산군,괴산고추축제,유기농엑스포광장 일원,충청북도 괴산군 괴산읍 임꺽정로 75
충북_괴산군,괴산김장축제,괴산종합운동장 일원,충청북도 괴산군 괴산읍 임꺽정로 75
충북_옥천군,향수옥천포도복숭아축제,온라인,충청북도 옥천군 옥천읍 관성로 53
충북_제천시,제천국제음악영화제,미정,충청북도 제천시 의병대로12길 14-1
충북_보은군,오장환 문학제,오장환문학관 등,충청북도 보은군 회인면 회인로5길 12
충북_영동군,영동곶감축제,온라인,충청북도 영동군 영동읍 영동황간로122
충북_옥천군,중봉충렬제,"옥천 관성회관, 표충사",충청북도 옥천군 옥천읍 관성로 35
충남_홍성군,홍성남당항새조개축제,남당항 일원,충청남도 홍성군 서부면 남당항로213번길 25-62
충남_태안군,꽃지저녁노을축제,꽃지해안공원,충청남도 태안군 안면읍 승언리 산29-100
충남_태안군,백화산 해맞이 행사,백화산 정상,충청남도 태안군 태안읍 상옥리 산139-2
충남_태안군,연포 해맞이 행사,연포해수욕장,충청남도 태안군 근흥면 도황리 1526-170
충남_청양군,제21회 청양고추.구기자축제,백세공원일원,
충남_천안시,대학가요제 및 연합축제,안서동 천호지,충청남도 천안시 동남구 먹거리11길 30
충남_천안시,천안예술제,도솔광장,충청남도 천안시 동남구 신부동 143-1
충남_천안시,입장거봉포도축제,입장초등학교운동장,충청남도 천안시 서북구 입장면 하장4길 19
충남_천안시,천안성환배축제,성환문화회관,충청남도 천안시 서북구 성환읍 성진로 15
충남_천안시,천안호두축제,광덕쉼터,충청남도 천안시 동남구 광덕면 광덕리 403
충남_천안시,천안북면위례벚꽃축제,북면은석초등학교운동장,충청남도 천안시 동남구 북면 용암3길 10
충남_천안시,천안춤영화제,영화관,충청남도 천안시 동남구 중앙로 111
충남_천안시,천안흥타령춤축제,"삼거리공원 , 시내일원",충청남도 천안시 동남구 삼룡동 306-1
충남_예산군,예산장터삼국축제,예산전통시장,충청남도 예산군 예산읍 천변로 160
충남_예산군,예산황토사과축제,예산역전(주차장),
충남_예산군,의좋은형제축제,의좋은 형제공원,충청남도 예산군 대흥면 의좋은형제길 51
충남_예산군,윤봉길평화축제,예산군 덕산면 충의사,
충남_아산시,아산성웅이순신축제,온양온천역 광장 및 시내일원,충청남도 아산시 온천대로 1496
충남_아산시,신정호 별빛축제,아산시 신정호 야외음악당 및 잔디 일원,충청남도 아산시 신정로 616
충남_아산시,설화예술제,신정호 야외음악당 및 이순신체육관,충청남도 아산시 신정로 616
충남_아산시,도고 코미디 핫 페스트 IN 아산,파라다이스도고 잔디광장,충청남도 아산시 도고면 도고온천로 176
충남_아산시,짚풀문화제,아산 외암민속마을,충청남도 아산시 송악면 외암민속길9번길 13-2
충남_아산시,은행나무길 축제,곡교천 은행나무길,
충남_서산시,서산해미읍성축제,서산시 해미면 남문2로 143(해미읍성),충청남도 서산시 해미면 남문2로 143
충남_서산시,서산국화축제,서산시 고북면 가구리 52(한농원),충청남도 서산시 고북면 복남골길 31-1
충남_부여군,부여서동연꽃축제,서동공원,충청남도 부여군 부여읍 궁남로 52
충남_부여군,백제문화제,정림사지 박물관 일원,충청남도 부여군 부여읍 정림로 83
충남_보령시,제24회 보령머드축제,충청남도 보령시 대천해수욕장 일원,충청남도 보령시 대해로 897-15
충남_당진시,8.15. 프란치스코 데이,솔뫼성지 일원,충청남도 당진시 우강면 솔뫼로 132
충남_당진시,심훈상록문화제,당진시청 일원,충청남도 당진시 시청1로 1(수청동)
충남_당진시,삽교호조개구이 축제,삽교호 관광지 일원,충청남도 당진시 신평면 삽교천3길 79
충남_당진시,남이흥장군 문화제,충장사 일원,충청남도 당진시 대호지면 충장1길 73-48
충남_당진시,왜목해돋이축제,왜목마을 일대,충청남도 당진시 석문면 왜목길 26
충남_당진시,기지시줄다리기 민속축제,기지시줄다리기 박물관 일원,충청남도 당진시 송악읍 안틀모시길 11
충남_당진시,장고항 실치축제,장고항 일대,충청남도 당진시 석문면 장고항로 298-5
충남_당진시,한진포구 바지락 갯벌체험축제,한진포구 일대,충청남도 당진시 송악읍 한진포구길 50-1
충남_당진시,해나루 황토감자축제,상록초등학교 일원,충청남도 당진시 송악읍 송악로 1024
충남_당진시,면천 진달래축제,면천읍성 앞 광장 및 면천일원,충청남도 당진시 면천면 면천서문1길 69
충남_논산시,강경젓갈축제,강경읍일원,충청남도 논산시 강경읍 금백로 45
충남_논산시,연산백중놀이,연산전통시장,충청남도 논산시 연산면 연산4길 10-7
충남_금산군,금산인삼축제,금산인삼관 광장 및 인삼약초시장 일원,충청남도 금산군 금산읍 인삼광장로 30
충남_금산군,금산삼계탕축제,금산임삼관 광장 일원,충청남도 금산군 금산읍 인삼광장로 30
충남_금산군,비단고을산꽃축제,군북면 산꽃벚꽃마을 오토캠핑장,충청남도 금산군 군북면 자진뱅이길 95
충남_금산군,금산천봄꽃축제,금산읍 금산천 일원,충청남도 금산군 금산읍 금산천길 28
충남_금산군,남일면홍도화축제,남일면 홍도마을 일원,충청남도 금산군 남일면 대홍로 632-8
충남_공주시,공주항공축제,공주경비행기장(정안천 일원),충청남도 공주시 의당면 수촌리 943
충남_공주시,공주 금강여름축제,고마아트센터,충청남도 공주시 사곡면 마곡사로 854
충남_공주시,제65회 백제문화제,금강신관공원 및 공산성 일원,충청남도 공주시 신관동 553
충남_공주시,제16회 마곡사신록축제,사곡면 운암리 마곡사일원,충청남도 공주시 사곡면 마곡사로 966 마곡사
충남_공주시,2019 계룡산벚꽃축제,계룡산 동학사 일원,충청남도 공주시 반포면 동학사1로 167-31
충남_공주시,갑사황매화 축제,갑사일원,충청남도 공주시 계룡면 갑사로 567-3
충남_공주시,제64회 백제문화제,금강신관공원 및 공산성 일원,충청남도 공주시 신관동 553
충남_공주시,2019겨울공주군밤축제,고마아트센터,충청남도 공주시 금학동 111-1
충남_공주시,2019 백제어울마당,송산리고분군(무령왕릉) 일원,충청남도 공주시 왕릉로 37
충남_공주시,2019 웅진성수문병 근무교대식,공산성 금서루,충청남도 공주시 웅진로 280
충남_공주시,2019 공주 석장리 구석기축제,석장리박물관,충청남도 공주시 금벽로 990
충남_공주시,2019 계룡산산신제,계룡면 양화리 신원사일원,충청남도 공주시 계룡면 보목고개로 393
충남_공주시,제15회 마곡사신록축제,사곡면 운암리 마곡사일원,충청남도 공주시 사곡면 마곡사로 966 마곡사
충남_공주시,2018 계룡산벚꽃축제,계룡산 동학사 일원,충청남도 공주시 반포면 동학사1로 167-31
충남_공주시,2018 마곡사토요무대,마곡사관광지 야외무대,충청남도 공주시 사곡면 마곡사로 854
충남_공주시,2018 계룡산산신제,계룡면 양화리 신원사일원,충청남도 공주시 계룡면 보목고개로 393
충남_공주시,마곡사 신록축제,사곡면 운암리 마곡사일원,충청남도 공주시 사곡면 마곡사로 966 마곡사
충남_공주시,제63회 백제문화제,금강신관공원,충청남도 공주시 신관동 553
충남_공주시,2017 겨울공주군밤축제,금학생태공원,충청남도 공주시 금학동 111-1
충남_공주시,2018 백제어울마당,송산리고분군(무령왕릉) 일원,충청남도 공주시 왕릉로 37
충남_공주시,2018 웅진성수문병 근무교대식,공산성 금서루,충청남도 공주시 웅진로 280
충남_공주시,2018 공주 석장리 세계구석기축제,석장리박물관,충청남도 공주시 금벽로 990
충남_공주시,계룡산산신제,계룡면 양화리 신원사일원,충청남도 공주시 계룡면 보목고개로 393
충남_공주시,백제 어울마당,공산성,충청남도 공주시 웅진로 28
충남_공주시,웅진성수문병 근무교대식,공산성 금서루,충청남도 공주시 웅진로 280
충남_공주시,공주 석장리 구석기축제,석장리박물관,충청남도 공주시 금벽로 990
충남_계룡시,계룡군문화축제,계룡대 비상활주로 일원,충청남도 계룡시 장안로 46
충남_공주시,백제문화제(공주),금강신관공원 및 공산성 일원,충청남도 공주시 금벽로 368
충남_보령시,보령머드축제,대천해수욕장 일원,충청남도 보령시 머드로 123
충남_논산시,강경젓갈축제,강경둔치 일원,충청남도 논산시 강경읍 금백로 45
충남_부여군,백제문화제(보령),부여 구드래 일원,충청남도 부여군 부여읍 백강로 148
충남_홍성군,홍성남당항새조개축제,남당항 일원,충청남도 홍성군 서부면 남당항로213번길 25-62
충남_예산군,예산 장터삼국축제,예산전통시장 내,충청남도 예산군 예산읍 천변로 160
충남_태안군,태안 세계툴립축제,꽃지해수욕장 해안공원,충청남도 태안군 안면읍 꽃지해안로 400
충남_서천군,춘장대해수욕장 여름문화예술축제,춘장대해수욕장 중앙광장,충청남도 서천군 서면 춘장대길 20
충남_서천군,자연산 광어.도미 축제,서면 마량포구 일원,충청남도 서천군 서면 서인로 56
충남_서천군,마량포 해넘이.해돋이 축제,서면 마량포구 일원,충청남도 서천군 서면 서인로 56
충남_서천군,홍원항 자연산 전어.꽃게 축제,서면 홍원항 일원,충청남도 서천군 서면 홍원길 130-3
