축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
신창동 어울림축제,신창동 공방의 거리,2017-10-28,2017-10-28,"주민운동회, 주민회의, 노래자랑, 나눔장터, 프리마켓 등",신창동 마을축제 추진위원회,광주광역시 광산구 신창동,,,,,광주광역시 광산구 왕버들로 291,,35.1956384,126.840969,2019-01-01,3630000,광주광역시 광산구
제2회 하남동 도농공 한울타리 어울림축제,경암근린공원,2017-10-28,2017-10-28,"기념식, 문화공연, 주민노래자랑, 플리마켓 등",하남동 한울타리 어울림축제 추진위원회,광주광역시 광산구 하남동,,,,,광주광역시 광산구 하남대로54번안길 133,,35.178175,126.7999659,2019-01-01,3630000,광주광역시 광산구
해맞이축제,영덕삼사해상공원,2019-12-31,2020-01-01,경북대종타종식 및 영덕해맞이축제,영덕군관광진흥협의회,경상북도청/경상북도 영덕군청,,054-730-6393,www.yd.go.kr,삼사해상산책로,,경상북도 영덕군 강구면 삼사리 158-3,36.350455,129.385535,2020-07-15,5180000,경상북도 영덕군
영덕대게축제,경상북도 영덕군 강구항 해파랑공원,2019-03-21,2019-03-24,영덕대게 홍보 및 체험축제,영덕대게축제추진위원회,경상북도 영덕군청/영덕대게축제추진위원회,"문화체육관광부, 경상북도",054-730-6393,ydcrabfestival.com,해파랑공원,,경상북도 영덕군 강구면 강구리 232-43,36.360209,129.391384,2020-07-15,5180000,경상북도 영덕군
영덕황금은어축제,오십천 둔치 일원,2019-08-02,2019-08-04,황금은어 홍보 및 체험 축제,경상북도청/경상북도 영덕군청,경상북도청/경상북도 영덕군청,영덕경찰서 등 유관기관,054-730-6586,www.yd.go.kr,오십천,,경상북도 영덕군 영덕읍 화개리 644,36.422248,129.356322,2020-07-15,5180000,경상북도 영덕군
영덕물가자미축제,축산항 일원,2019-04-25,2019-04-28,물가자미 홍보 및 체험 축제,경상북도청/경상북도 영덕군청,경상북도청/경상북도 영덕군청,영덕경찰서 등 유관기관,054-730-6092,www.yd.go.kr,축산항,,경상북도 영덕군 축산면 축산리 216-3,36.509106,129.446771,2020-07-15,5180000,경상북도 영덕군
울릉해변가요제,저동항,2020-08-01,2020-08-31,"군민가요제, 불꽃놀이",(사)울릉청년단,울릉군,,054-791-4116,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1991&,주민과 관광객들의 만남의 장으로 한여름밤의 낭만을 즐길 수 있는 행사,,경상북도 울릉군 울릉읍 도동리 300-8,37.48430421,130.9056438,2020-12-31,5260000,경상북도 울릉군
우산문화제,도동항,2020-09-01,2020-10-31,"개막축하행사전통민속놀이, 체험행사 등",울릉문화원,울릉군,,054-791-0245,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1988&,울릉도 개척 정신을 기리고 울릉이 문화의 고장임을 널리 소개,,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734,2020-12-31,5260000,경상북도 울릉군
오징어축제,저동항,2020-06-12,2020-06-14,"오징어 맨손잡기, 요리경연, 뗏목경주등",울릉군 축제위원회,울릉군,"경상북도, 관내 기관 및 사회단체",054-790-6392,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1986&,"울릉도의 비경을 배경으로 푸른 동해 바다에서 오징어를 잡아보고,오징어 건조과정을 체험하면서 각종 오징어요리를 즐길 수 있는 행사",,경상북도 울릉군 울릉읍 도동리 300-8,37.48430421,130.9056438,2020-12-31,5260000,경상북도 울릉군
회당문화재,도동항,2020-07-01,2020-07-02,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 진행(메인)",대한불교진각종,대한불교진각종,울릉군,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1992&,"버스킹, 전시 및 체험행사, 독도아리랑 콘서트 등 다양한 문화행사로 진행",,경상북도 울릉군 울릉읍 도동리 169,37.48343755,130.9020734,2020-12-31,5260000,경상북도 울릉군
민속그네뛰기,사동 자생식물원,2020-06-25,2020-06-25,그네뛰기,울릉문화원,울릉문화원,울릉군,,https://www.ulleung.go.kr/tour/page.htm?mnu_uid=1989&,전통문화 계승발전과 건전한 사회 기풍을 조성함과 향토문화 창달에 기여,경상북도 울릉군 울릉읍 간령길 83-18,,37.46024044,130.8735494,2020-12-31,5260000,경상북도 울릉군
대구국제재즈축제,공원,2021-10-01,2021-10-31,"재즈뮤지션 초청공연, 프린지 공연, 대구국제실용음악콩쿠르 개최",대구국제재즈축제조직위원회,대구광역시 문화예술정책과,,1544-1850,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012200693,2021-04-21,6270000,대구광역시
팔공산 산중장터 승시,동화사,2021-10-01,2021-10-31,"산중장터 승시 재현, 승시음악회, 불교용품 전시, 체험관 운영 등",팔공산승시축제봉행위원회,팔공총림동화사,,053-980-7956,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012200693,2021-04-21,6270000,대구광역시
대구생활문화제,동성로,2021-10-01,2021-10-31,"예술동호회 공연 및 전시, 체험존 운영",대구문화재단,대구광역시 문화예술정책과,,053-803-3631,http://www.daegu.go.kr/,개최일자 미정,대구광역시 중구 공평로 88(동인동1가),,35.87155388,128.6012200693,2021-04-21,6270000,대구광역시
대봉웨딩거리축제,대봉웨딩거리,2021-04-01,2021-06-30,"웨딩 관련 상품체험, 길거리 공연 등",미정,미정,미정,053-661-2645,http://www.jung.daegu.kr/,개최일자·주최 등 미정,대구광역시 중구 국채보상로139길 1(동인동2가),,35.86932522,128.6061572,2021-04-21,6270000,대구광역시
